TransactionID,isFraud,TransactionDT,TransactionAmt,ProductCD,card1,card2,card3,card4,card5,card6,addr1,addr2,dist1,P_emaildomain,R_emaildomain,C1,C2,C5,C6,C11,C13,C14,D1,D2,D3,D4,D10,D15,V1,V12,V29,V44,V75,V281,V283,V307,DeviceType,DeviceInfo,id_01,id_12,id_30,id_31
3000000,0,912,191.46,W,2753,321.0,185.0,mastercard,102.0,debit,325.0,87.0,,gmail.com,nan,1,2,2,2,1,1,1,5.0,,,14.0,0.0,,1.0,,2.0,0.0,,0.0,0.0,0.0,mobile,Dev_220,-5.0,Found,nan,nan
3000001,0,6763,230.55,W,1567,321.0,150.0,visa,226.0,debit,204.0,87.0,0.0,gmail.com,gmail.com,1,2,3,3,0,3,1,0.0,60.0,2.0,0.0,0.0,300.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,mobile,Dev_112,,Found,nan,nan
3000002,0,9322,7.83,W,2918,170.0,185.0,visa,126.0,debit,441.0,87.0,0.0,gmail.com,nan,2,3,2,4,1,1,0,14.0,1.0,7.0,90.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mobile,Dev_262,-5.0,nan,nan,nan
3000003,0,11096,195.65,W,1663,111.0,150.0,visa,126.0,debit,441.0,87.0,,nan,nan,0,4,2,3,1,2,4,5.0,1.0,30.0,,3.0,300.0,,0.0,0.0,,2.0,0.0,0.0,,nan,Dev_686,,nan,nan,nan
3000004,0,11425,27.34,W,2929,321.0,150.0,mastercard,226.0,debit,204.0,87.0,,hotmail.com,nan,0,0,1,1,2,1,0,5.0,60.0,30.0,14.0,0.0,0.0,1.0,,0.0,1.0,,,1.0,50.0,mobile,Dev_29,,nan,Windows 10,nan
3000005,0,11754,171.17,W,2486,490.0,185.0,visa,102.0,debit,299.0,87.0,,gmail.com,hotmail.com,3,4,3,2,2,1,0,5.0,0.0,,90.0,,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,desktop,Dev_546,,nan,nan,nan
3000006,0,11870,61.85,W,1549,321.0,150.0,visa,126.0,debit,299.0,87.0,0.0,hotmail.com,nan,1,0,1,2,2,7,3,14.0,60.0,,90.0,,0.0,,0.0,0.0,1.0,,0.0,3.0,250.0,desktop,Dev_314,-10.0,nan,iOS 11.1.2,nan
3000007,0,15779,68.83,W,2500,490.0,150.0,mastercard,126.0,debit,299.0,87.0,,gmail.com,gmail.com,2,2,2,1,1,5,1,5.0,0.0,2.0,90.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,desktop,Dev_464,-5.0,nan,nan,nan
3000008,0,17565,54.4,W,1197,224.0,150.0,discover,126.0,debit,299.0,87.0,5.0,gmail.com,nan,2,0,3,2,0,4,1,45.0,,2.0,0.0,3.0,,,2.0,1.0,,2.0,,0.0,250.0,mobile,Dev_445,-5.0,nan,nan,nan
3000009,0,19958,252.99,W,2967,321.0,150.0,visa,102.0,debit,126.0,87.0,0.0,nan,nan,2,1,2,0,3,3,4,0.0,,0.0,90.0,0.0,,,0.0,1.0,,0.0,0.0,0.0,50.0,desktop,Dev_942,,nan,nan,mobile safari 11.0
