threshold,precision,recall,f1_score,fraud_caught,fraud_missed,false_positives,true_negatives,false_negative_loss,false_positive_loss,total_realized_cost,expected_cost_per_txn
0.01,0.0433,1.0,0.0831,52,0,1148,0,0.0,574000.0,574000.0,478.33
0.02,0.0438,1.0,0.084,52,0,1134,14,0.0,567000.0,567000.0,472.5
0.03,0.0476,0.7885,0.0897,41,11,821,327,2971.05,410500.0,413471.05,344.56
0.04,0.0487,0.4423,0.0878,23,29,449,699,5514.42,224500.0,230014.42,191.68
0.05,0.059,0.3462,0.1008,18,34,287,861,5795.46,143500.0,149295.46,124.41
0.06,0.0622,0.2692,0.1011,14,38,211,937,5997.3,105500.0,111497.3,92.91
0.07,0.0617,0.1923,0.0935,10,42,152,996,8508.39,76000.0,84508.39,70.42
0.08,0.0709,0.1731,0.1006,9,43,118,1030,8529.69,59000.0,67529.69,56.27
0.09,0.08,0.1538,0.1053,8,44,92,1056,8637.65,46000.0,54637.65,45.53
0.1,0.0769,0.1154,0.0923,6,46,72,1076,8794.97,36000.0,44794.97,37.33
0.11,0.1053,0.1154,0.1101,6,46,51,1097,8794.97,25500.0,34294.97,28.58
0.12,0.0816,0.0769,0.0792,4,48,45,1103,9836.4,22500.0,32336.4,26.95
0.13,0.1053,0.0769,0.0889,4,48,34,1114,9836.4,17000.0,26836.4,22.36
0.14,0.0909,0.0577,0.0706,3,49,30,1118,9915.97,15000.0,24915.97,20.76
0.15,0.0385,0.0192,0.0256,1,51,25,1123,10165.55,12500.0,22665.55,18.89
0.16,0.0588,0.0192,0.029,1,51,16,1132,10165.55,8000.0,18165.55,15.14
0.17,0.0,0.0,0.0,0,52,12,1136,10264.9,6000.0,16264.9,13.55
0.18,0.0,0.0,0.0,0,52,9,1139,10264.9,4500.0,14764.9,12.3
0.19,0.0,0.0,0.0,0,52,9,1139,10264.9,4500.0,14764.9,12.3
0.2,0.0,0.0,0.0,0,52,6,1142,10264.9,3000.0,13264.9,11.05
0.21,0.0,0.0,0.0,0,52,4,1144,10264.9,2000.0,12264.9,10.22
0.22,0.0,0.0,0.0,0,52,3,1145,10264.9,1500.0,11764.9,9.8
0.23,0.0,0.0,0.0,0,52,3,1145,10264.9,1500.0,11764.9,9.8
0.24,0.0,0.0,0.0,0,52,2,1146,10264.9,1000.0,11264.9,9.39
0.25,0.0,0.0,0.0,0,52,2,1146,10264.9,1000.0,11264.9,9.39
0.26,0.0,0.0,0.0,0,52,1,1147,10264.9,500.0,10764.9,8.97
0.27,0.0,0.0,0.0,0,52,1,1147,10264.9,500.0,10764.9,8.97
0.28,0.0,0.0,0.0,0,52,1,1147,10264.9,500.0,10764.9,8.97
0.29,0.0,0.0,0.0,0,52,1,1147,10264.9,500.0,10764.9,8.97
0.3,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.31,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.32,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.33,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.34,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.35,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.36,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.37,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.38,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.39,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.4,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.41,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.42,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.43,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.44,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.45,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.46,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.47,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
