threshold,precision,recall,f1_score,false_positive_rate,false_negative_rate,review_volume_pct,true_positives,false_positives,false_negatives,true_negatives
0.01,0.0433,1.0,0.0831,1.0,0.0,1.0,52,1148,0,0
0.02,0.0434,1.0,0.0832,0.9983,0.0,0.9983,52,1146,0,2
0.03,0.0436,1.0,0.0835,0.9939,0.0,0.9942,52,1141,0,7
0.04,0.0439,1.0,0.0841,0.9861,0.0,0.9867,52,1132,0,16
0.05,0.044,0.9808,0.0842,0.966,0.0192,0.9667,51,1109,1,39
0.06,0.0446,0.9615,0.0853,0.9321,0.0385,0.9333,50,1070,2,78
0.07,0.0452,0.9423,0.0863,0.9016,0.0577,0.9033,49,1035,3,113
0.08,0.0445,0.9038,0.0849,0.878,0.0962,0.8792,47,1008,5,140
0.09,0.0455,0.8846,0.0866,0.8397,0.1154,0.8417,46,964,6,184
0.1,0.0467,0.8654,0.0887,0.7997,0.1346,0.8025,45,918,7,230
0.11,0.0463,0.8269,0.0877,0.7718,0.1731,0.7742,43,886,9,262
0.12,0.0473,0.8077,0.0894,0.7369,0.1923,0.74,42,846,10,302
0.13,0.0472,0.7692,0.0889,0.7038,0.2308,0.7067,40,808,12,340
0.14,0.0487,0.75,0.0914,0.6638,0.25,0.6675,39,762,13,386
0.15,0.0467,0.6731,0.0874,0.622,0.3269,0.6242,35,714,17,434
0.16,0.048,0.6538,0.0894,0.588,0.3462,0.5908,34,675,18,473
0.17,0.0486,0.6346,0.0903,0.5627,0.3654,0.5658,33,646,19,502
0.18,0.0481,0.5962,0.089,0.5348,0.4038,0.5375,31,614,21,534
0.19,0.0449,0.5192,0.0826,0.5009,0.4808,0.5017,27,575,25,573
0.2,0.044,0.4808,0.0806,0.473,0.5192,0.4733,25,543,27,605
0.21,0.0453,0.4615,0.0825,0.4408,0.5385,0.4417,24,506,28,642
0.22,0.0472,0.4615,0.0856,0.4225,0.5385,0.4242,24,485,28,663
0.23,0.048,0.4423,0.0866,0.3972,0.5577,0.3992,23,456,29,692
0.24,0.0502,0.4423,0.0902,0.3789,0.5577,0.3817,23,435,29,713
0.25,0.0531,0.4423,0.0948,0.3571,0.5577,0.3608,23,410,29,738
0.26,0.0564,0.4423,0.1,0.3354,0.5577,0.34,23,385,29,763
0.27,0.0563,0.4231,0.0993,0.3214,0.5769,0.3258,22,369,30,779
0.28,0.0553,0.4038,0.0972,0.3127,0.5962,0.3167,21,359,31,789
0.29,0.0574,0.4038,0.1005,0.3005,0.5962,0.305,21,345,31,803
0.3,0.0552,0.3654,0.096,0.2831,0.6346,0.2867,19,325,33,823
0.31,0.0579,0.3654,0.1,0.2692,0.6346,0.2733,19,309,33,839
0.32,0.0601,0.3654,0.1033,0.2587,0.6346,0.2633,19,297,33,851
0.33,0.059,0.3462,0.1008,0.25,0.6538,0.2542,18,287,34,861
0.34,0.0541,0.3077,0.092,0.2439,0.6923,0.2467,16,280,36,868
0.35,0.0561,0.3077,0.095,0.2343,0.6923,0.2375,16,269,36,879
0.36,0.0584,0.3077,0.0982,0.2247,0.6923,0.2283,16,258,36,890
0.37,0.057,0.2885,0.0952,0.216,0.7115,0.2192,15,248,37,900
0.38,0.0595,0.2885,0.0987,0.2064,0.7115,0.21,15,237,37,911
0.39,0.0612,0.2885,0.101,0.2003,0.7115,0.2042,15,230,37,918
0.4,0.063,0.2885,0.1034,0.1943,0.7115,0.1983,15,223,37,925
0.41,0.0622,0.2692,0.1011,0.1838,0.7308,0.1875,14,211,38,937
0.42,0.0602,0.25,0.097,0.1768,0.75,0.18,13,203,39,945
0.43,0.0619,0.25,0.0992,0.1716,0.75,0.175,13,197,39,951
0.44,0.0603,0.2308,0.0956,0.1629,0.7692,0.1658,12,187,40,961
0.45,0.0656,0.2308,0.1021,0.149,0.7692,0.1525,12,171,40,977
0.46,0.0581,0.1923,0.0893,0.1411,0.8077,0.1433,10,162,42,986
0.47,0.0606,0.1923,0.0922,0.135,0.8077,0.1375,10,155,42,993
0.48,0.0625,0.1923,0.0943,0.1307,0.8077,0.1333,10,150,42,998
0.49,0.0667,0.1923,0.099,0.122,0.8077,0.125,10,140,42,1008
0.5,0.0685,0.1923,0.101,0.1185,0.8077,0.1217,10,136,42,1012
0.51,0.0725,0.1923,0.1053,0.1115,0.8077,0.115,10,128,42,1020
0.52,0.0703,0.1731,0.1,0.1037,0.8269,0.1067,9,119,43,1029
0.53,0.0732,0.1731,0.1029,0.0993,0.8269,0.1025,9,114,43,1034
0.54,0.0783,0.1731,0.1078,0.0923,0.8269,0.0958,9,106,43,1042
0.55,0.0741,0.1538,0.1,0.0871,0.8462,0.09,8,100,44,1048
0.56,0.0762,0.1538,0.1019,0.0845,0.8462,0.0875,8,97,44,1051
0.57,0.08,0.1538,0.1053,0.0801,0.8462,0.0833,8,92,44,1056
0.58,0.0833,0.1538,0.1081,0.0767,0.8462,0.08,8,88,44,1060
0.59,0.0889,0.1538,0.1127,0.0714,0.8462,0.075,8,82,44,1066
0.6,0.0698,0.1154,0.087,0.0697,0.8846,0.0717,6,80,46,1068
0.61,0.0779,0.1154,0.093,0.0618,0.8846,0.0642,6,71,46,1077
0.62,0.0822,0.1154,0.096,0.0584,0.8846,0.0608,6,67,46,1081
