case_id,account_id,edge_timestamp
case_000001,acct_018420,2025-08-25T09:15:13
case_000002,acct_021842,2025-02-10T15:57:01
case_000003,acct_000588,2025-05-12T10:05:13
case_000004,acct_021842,2025-12-16T17:37:32
case_000005,acct_003219,2025-04-01T18:40:20
case_000006,acct_002316,2025-03-10T11:32:03
case_000007,acct_018644,2025-12-05T17:16:52
case_000008,acct_010655,2025-11-03T14:38:38
case_000009,acct_009274,2025-02-11T14:23:24
case_000010,acct_013305,2025-11-20T16:46:29
case_000011,acct_008580,2025-02-10T18:02:12
case_000012,acct_016145,2025-01-30T11:25:16
case_000013,acct_020966,2025-02-26T16:15:17
case_000014,acct_000588,2025-02-25T18:33:34
case_000015,acct_003781,2025-09-05T13:50:51
case_000016,acct_016615,2025-04-14T09:59:19
case_000017,acct_008580,2025-01-08T14:51:54
case_000018,acct_017506,2025-12-15T12:13:27
case_000019,acct_016564,2025-05-12T16:17:31
case_000020,acct_000588,2025-03-03T15:54:53
case_000021,acct_011503,2025-11-10T12:47:29
case_000022,acct_017506,2025-02-24T12:33:02
case_000023,acct_002626,2025-09-25T18:37:04
case_000024,acct_016145,2025-11-04T17:34:43
case_000025,acct_019202,2025-08-13T14:36:31
case_000026,acct_010321,2025-01-24T17:40:09
case_000027,acct_010913,2025-08-11T18:34:41
case_000028,acct_011538,2025-03-17T12:48:33
case_000029,acct_010913,2025-12-17T18:09:12
case_000030,acct_016204,2025-03-19T17:29:16
case_000031,acct_010591,2025-10-31T12:32:02
case_000032,acct_021842,2025-03-31T17:53:57
case_000033,acct_011538,2025-04-15T18:59:13
case_000034,acct_018644,2025-07-15T18:22:16
case_000035,acct_020838,2025-10-16T13:26:39
case_000036,acct_021842,2025-12-03T09:24:21
case_000037,acct_010655,2025-03-14T11:58:01
case_000038,acct_010591,2025-03-30T18:21:29
case_000039,acct_011538,2025-06-17T10:47:42
case_000040,acct_016615,2025-06-05T18:47:18
case_000041,acct_021889,2025-12-29T14:47:58
case_000042,acct_010321,2025-05-14T12:09:38
case_000043,acct_017506,2025-01-13T11:54:59
case_000044,acct_008207,2025-06-27T17:36:14
case_000045,acct_016240,2025-06-09T15:00:59
