case_id,consumer_id,edge_timestamp
case_001913,consumer_000338,2025-05-27T10:53:24
case_001914,consumer_000354,2025-11-03T10:44:41
case_001915,consumer_000260,2025-06-06T11:05:51
case_001916,consumer_000183,2025-07-11T12:49:59
case_001917,consumer_000405,2025-08-06T12:34:43
case_001918,consumer_000184,2025-05-13T10:46:22
case_001919,consumer_000538,2025-04-21T14:08:38
case_001920,consumer_000292,2025-05-09T16:31:12
case_001921,consumer_000518,2025-11-10T18:41:46
case_001922,consumer_000226,2025-03-10T18:44:57
case_001923,consumer_000285,2025-11-17T15:02:54
case_001924,consumer_000278,2025-07-31T14:54:40
case_001925,consumer_000367,2025-09-10T10:30:11
case_001926,consumer_000476,2025-08-04T14:43:38
case_001927,consumer_000484,2025-04-07T15:29:36
case_001928,consumer_000201,2025-03-25T17:26:05
case_001929,consumer_000456,2025-10-27T11:52:18
case_001930,consumer_000442,2025-08-11T12:40:22
case_001931,consumer_000396,2025-09-22T14:30:58
case_001932,consumer_000273,2025-01-28T15:40:15
case_001933,consumer_000312,2025-04-08T17:51:01
case_001934,consumer_000228,2025-01-27T18:56:34
case_001935,consumer_000214,2025-01-29T09:49:39
case_001936,consumer_000207,2025-07-17T14:21:27
case_001937,consumer_000189,2025-09-08T12:12:52
case_001938,consumer_000489,2025-05-02T11:53:21
case_001939,consumer_000231,2025-01-30T11:21:18
case_001940,consumer_000347,2025-01-21T16:12:36
case_001941,consumer_000250,2025-12-23T13:34:44
case_001942,consumer_000311,2025-01-08T12:48:22
case_001943,consumer_000184,2025-02-27T15:18:29
case_001944,consumer_000228,2025-02-25T11:00:37
case_001945,consumer_000386,2025-10-12T10:51:17
case_001946,consumer_000269,2025-12-16T11:00:02
case_001947,consumer_000193,2025-09-24T18:38:08
case_001948,consumer_000501,2025-01-27T09:47:45
case_001949,consumer_000270,2025-04-07T15:13:34
case_001950,consumer_000538,2025-02-17T12:05:52
case_001951,consumer_000200,2025-01-20T12:16:10
case_001952,consumer_000220,2025-08-04T13:50:57
case_001953,consumer_000462,2025-05-26T18:07:47
case_001954,consumer_000481,2025-07-17T12:42:21
case_001955,consumer_000482,2025-06-25T09:00:59
case_001956,consumer_000211,2025-08-22T18:30:33
case_001957,consumer_000458,2025-01-23T13:41:36
case_001958,consumer_000272,2025-11-17T16:58:17
case_001959,consumer_000203,2025-01-27T13:57:00
case_001960,consumer_000344,2025-12-23T11:31:16
case_001961,consumer_000202,2025-11-03T09:57:51
case_001962,consumer_000506,2025-06-09T10:41:59
case_001963,consumer_000532,2025-03-24T13:52:36
case_001964,consumer_000493,2025-02-03T11:06:50
case_001965,consumer_000395,2025-12-11T09:30:03
case_001966,consumer_000468,2025-06-16T12:13:08
case_001967,consumer_000466,2025-04-24T12:30:28
case_001968,consumer_000228,2025-11-17T17:57:54
case_001969,consumer_000422,2025-11-03T11:24:17
case_001970,consumer_000344,2025-05-21T16:23:41
case_001971,consumer_000375,2025-09-03T13:20:09
case_001972,consumer_000426,2025-06-19T11:24:06
case_001973,consumer_000303,2025-05-21T16:54:41
case_001974,consumer_000535,2025-05-07T14:03:38
case_001975,consumer_000262,2025-12-08T16:00:02
case_001976,consumer_000343,2025-12-01T10:53:10
case_001977,consumer_000501,2025-02-03T09:38:11
case_001978,consumer_000400,2025-12-27T13:21:17
case_001979,consumer_000204,2025-04-14T16:01:31
case_001980,consumer_000259,2025-12-08T14:20:48
case_001981,consumer_000413,2025-12-08T17:16:56
case_001982,consumer_000386,2025-02-04T14:11:25
case_001983,consumer_000440,2025-02-19T16:05:42
case_001984,consumer_000316,2025-11-18T17:53:15
case_001985,consumer_000453,2025-08-11T17:55:12
case_001986,consumer_000434,2025-03-11T14:54:13
case_001987,consumer_000234,2025-06-26T15:14:44
case_001988,consumer_000314,2025-11-17T12:46:55
case_001989,consumer_000292,2025-07-15T13:32:03
case_001990,consumer_000489,2025-10-20T09:40:05
case_001991,consumer_000422,2025-12-07T14:49:02
case_001992,consumer_000382,2025-03-25T16:57:38
case_001993,consumer_000342,2025-01-20T18:40:34
case_001994,consumer_000261,2025-01-30T18:45:25
case_001995,consumer_000495,2025-03-03T10:18:32
case_001996,consumer_000287,2025-02-07T17:24:16
case_001997,consumer_000396,2025-07-07T12:13:55
case_001998,consumer_000344,2025-05-22T09:13:26
case_001999,consumer_000525,2025-11-26T17:54:18
case_002000,consumer_000464,2025-07-14T12:50:37
case_002001,consumer_000258,2025-11-14T17:32:49
case_002002,consumer_000520,2025-07-10T17:26:26
case_002003,consumer_000185,2025-07-14T11:12:00
case_002004,consumer_000282,2025-04-21T15:58:34
case_002005,consumer_000468,2025-02-07T09:42:29
case_002006,consumer_000439,2025-01-22T11:28:22
case_002007,consumer_000272,2025-07-17T14:10:09
case_002008,consumer_000381,2025-04-17T10:56:53
case_002009,consumer_000218,2025-12-08T17:32:34
case_002010,consumer_000293,2025-12-15T18:26:48
case_002011,consumer_000413,2025-09-29T14:57:19
case_002012,consumer_000215,2025-12-03T17:04:02
case_002013,consumer_000195,2025-06-23T18:47:51
case_002014,consumer_000203,2025-12-08T12:16:16
case_002015,consumer_000474,2025-12-30T11:09:47
case_002016,consumer_000343,2025-01-01T16:08:50
case_002017,consumer_000395,2025-03-03T13:17:29
case_002018,consumer_000429,2025-11-24T12:54:30
case_002019,consumer_000510,2025-05-28T16:15:11
case_002020,consumer_000355,2025-06-30T12:23:58
case_002021,consumer_000374,2025-04-14T14:56:54
case_002022,consumer_000317,2025-12-29T10:05:40
