case_id,employee_id,edge_timestamp
case_001881,emp_000005,2025-09-19T10:57:45
case_001882,emp_000019,2025-08-04T12:31:09
case_001883,emp_000003,2025-03-03T15:57:57
case_001884,emp_000014,2025-08-12T14:02:51
case_001885,emp_000026,2025-01-02T18:28:47
case_001886,emp_000023,2025-02-18T09:17:00
case_001887,emp_000025,2025-02-21T12:15:28
case_001888,emp_000018,2025-09-16T10:45:01
case_001889,emp_000011,2025-03-26T17:28:42
case_001890,emp_000028,2025-02-12T18:21:04
case_001891,emp_000021,2025-08-04T10:14:17
case_001892,emp_000029,2025-07-08T12:35:48
case_001893,emp_000006,2025-11-05T14:48:47
case_001894,emp_000002,2025-10-16T12:56:15
case_001895,emp_000024,2025-10-08T17:27:07
case_001896,emp_000023,2025-08-11T09:29:01
case_001897,emp_000002,2025-01-29T14:39:17
case_001898,emp_000005,2025-10-01T15:49:49
case_001899,emp_000019,2025-01-06T16:36:55
case_001900,emp_000024,2025-08-15T12:34:22
case_001901,emp_000032,2025-01-16T10:43:50
case_001902,emp_000006,2025-08-25T18:26:57
case_001903,emp_000005,2025-04-30T09:17:48
case_001904,emp_000021,2025-01-20T09:40:17
case_001905,emp_000013,2025-10-29T15:18:41
case_001906,emp_000028,2025-02-04T17:23:27
case_001907,emp_000026,2025-05-27T13:14:32
case_001908,emp_000028,2025-05-14T18:30:59
case_001909,emp_000014,2025-08-25T14:16:07
case_001910,emp_000025,2025-01-28T17:56:57
case_001911,emp_000026,2025-10-14T14:37:01
case_001912,emp_000005,2025-11-17T13:22:14
case_001913,emp_000052,2025-05-27T10:53:24
case_001916,emp_000042,2025-07-11T12:49:59
case_001917,emp_000036,2025-08-06T12:34:43
case_001920,emp_000036,2025-05-09T16:31:12
case_001923,emp_000043,2025-11-17T15:02:54
case_001927,emp_000050,2025-04-07T15:29:36
case_001928,emp_000047,2025-03-25T17:26:05
case_001929,emp_000056,2025-10-27T11:52:18
case_001930,emp_000056,2025-08-11T12:40:22
case_001933,emp_000047,2025-04-08T17:51:01
case_001934,emp_000053,2025-01-27T18:56:34
case_001935,emp_000047,2025-01-29T09:49:39
case_001936,emp_000047,2025-07-17T14:21:27
case_001937,emp_000053,2025-09-08T12:12:52
case_001938,emp_000037,2025-05-02T11:53:21
case_001940,emp_000038,2025-01-21T16:12:36
case_001941,emp_000053,2025-12-23T13:34:44
case_001942,emp_000037,2025-01-08T12:48:22
case_001944,emp_000053,2025-02-25T11:00:37
case_001945,emp_000041,2025-10-12T10:51:17
case_001946,emp_000034,2025-12-16T11:00:02
case_001947,emp_000056,2025-09-24T18:38:08
case_001948,emp_000045,2025-01-27T09:47:45
case_001949,emp_000037,2025-04-07T15:13:34
case_001950,emp_000048,2025-02-17T12:05:52
case_001951,emp_000050,2025-01-20T12:16:10
case_001952,emp_000043,2025-08-04T13:50:57
case_001958,emp_000046,2025-11-17T16:58:17
case_001960,emp_000035,2025-12-23T11:31:16
case_001961,emp_000043,2025-11-03T09:57:51
case_001962,emp_000035,2025-06-09T10:41:59
case_001963,emp_000034,2025-03-24T13:52:36
case_001964,emp_000050,2025-02-03T11:06:50
case_001965,emp_000041,2025-12-11T09:30:03
case_001968,emp_000037,2025-11-17T17:57:54
case_001969,emp_000046,2025-11-03T11:24:17
case_001971,emp_000040,2025-09-03T13:20:09
case_001972,emp_000049,2025-06-19T11:24:06
case_001974,emp_000042,2025-05-07T14:03:38
case_001977,emp_000048,2025-02-03T09:38:11
case_001979,emp_000043,2025-04-14T16:01:31
case_001980,emp_000034,2025-12-08T14:20:48
case_001981,emp_000046,2025-12-08T17:16:56
case_001982,emp_000035,2025-02-04T14:11:25
case_001984,emp_000043,2025-11-18T17:53:15
case_001987,emp_000055,2025-06-26T15:14:44
case_001989,emp_000037,2025-07-15T13:32:03
case_001993,emp_000053,2025-01-20T18:40:34
case_001994,emp_000042,2025-01-30T18:45:25
case_001996,emp_000045,2025-02-07T17:24:16
case_001999,emp_000052,2025-11-26T17:54:18
case_002000,emp_000047,2025-07-14T12:50:37
case_002001,emp_000049,2025-11-14T17:32:49
case_002004,emp_000034,2025-04-21T15:58:34
case_002008,emp_000041,2025-04-17T10:56:53
case_002011,emp_000038,2025-09-29T14:57:19
case_002014,emp_000044,2025-12-08T12:16:16
case_002016,emp_000036,2025-01-01T16:08:50
case_002017,emp_000044,2025-03-03T13:17:29
case_002020,emp_000048,2025-06-30T12:23:58
case_002021,emp_000046,2025-04-14T14:56:54
case_002022,emp_000038,2025-12-29T10:05:40
