employee_id,case_id,edge_timestamp
emp_000124,case_000001,2025-08-25T09:15:13
emp_000425,case_000002,2025-02-10T15:57:01
emp_000561,case_000003,2025-05-12T10:05:13
emp_000180,case_000004,2025-12-16T17:37:32
emp_000213,case_000005,2025-04-01T18:40:20
emp_000094,case_000006,2025-03-10T11:32:03
emp_000401,case_000007,2025-12-05T17:16:52
emp_000384,case_000008,2025-11-03T14:38:38
emp_000185,case_000009,2025-02-11T14:23:24
emp_000243,case_000010,2025-11-20T16:46:29
emp_000124,case_000011,2025-02-10T18:02:12
emp_000185,case_000012,2025-01-30T11:25:16
emp_000254,case_000013,2025-02-26T16:15:17
emp_000563,case_000014,2025-02-25T18:33:34
emp_000113,case_000015,2025-09-05T13:50:51
emp_000241,case_000016,2025-04-14T09:59:19
emp_000394,case_000017,2025-01-08T14:51:54
emp_000384,case_000018,2025-12-15T12:13:27
emp_000473,case_000019,2025-05-12T16:17:31
emp_000088,case_000020,2025-03-03T15:54:53
emp_000572,case_000021,2025-11-10T12:47:29
emp_000364,case_000022,2025-02-24T12:33:02
emp_000094,case_000023,2025-09-25T18:37:04
emp_000173,case_000024,2025-11-04T17:34:43
emp_000471,case_000025,2025-08-13T14:36:31
emp_000493,case_000026,2025-01-24T17:40:09
emp_000195,case_000027,2025-08-11T18:34:41
emp_000471,case_000028,2025-03-17T12:48:33
emp_000088,case_000029,2025-12-17T18:09:12
emp_000425,case_000030,2025-03-19T17:29:16
emp_000563,case_000031,2025-10-31T12:32:02
emp_000385,case_000032,2025-03-31T17:53:57
emp_000408,case_000033,2025-04-15T18:59:13
emp_000352,case_000034,2025-07-15T18:22:16
emp_000241,case_000035,2025-10-16T13:26:39
emp_000205,case_000036,2025-12-03T09:24:21
emp_000205,case_000037,2025-03-14T11:58:01
emp_000213,case_000038,2025-03-30T18:21:29
emp_000408,case_000039,2025-06-17T10:47:42
emp_000371,case_000040,2025-06-05T18:47:18
emp_000033,case_000041,2025-12-29T14:47:58
emp_000439,case_000042,2025-05-14T12:09:38
emp_000472,case_000043,2025-01-13T11:54:59
emp_000124,case_000044,2025-06-27T17:36:14
emp_000012,case_000045,2025-06-09T15:00:59
emp_000473,case_000046,2025-09-12T18:34:10
emp_000385,case_000047,2025-08-18T11:12:44
emp_000191,case_000048,2025-08-26T17:26:32
emp_000088,case_000049,2025-12-18T15:14:33
emp_000388,case_000050,2025-08-18T14:48:22
emp_000285,case_000051,2025-12-08T12:21:48
emp_000254,case_000052,2025-09-17T17:30:52
emp_000122,case_000053,2025-03-14T15:50:44
emp_000453,case_000054,2025-06-23T17:18:42
emp_000285,case_000055,2025-02-06T15:49:58
emp_000243,case_000056,2025-02-24T18:14:30
emp_000388,case_000057,2025-06-30T14:18:18
emp_000098,case_000058,2025-12-05T09:03:46
emp_000113,case_000059,2025-07-21T14:11:39
emp_000285,case_000060,2025-05-15T16:08:21
emp_000227,case_000061,2025-05-05T13:20:53
emp_000141,case_000062,2025-10-21T10:48:57
emp_000577,case_000063,2025-08-20T16:17:48
emp_000088,case_000064,2025-02-20T18:29:41
emp_000432,case_000065,2025-09-22T18:42:05
emp_000088,case_000066,2025-08-11T12:18:00
emp_000009,case_000067,2025-12-29T14:18:26
emp_000190,case_000068,2025-10-20T17:15:00
emp_000425,case_000069,2025-04-11T14:50:42
emp_000241,case_000070,2025-01-31T14:50:19
emp_000113,case_000071,2025-11-10T10:39:23
emp_000587,case_000072,2025-11-17T10:37:21
emp_000364,case_000073,2025-06-17T11:56:57
emp_000563,case_000074,2025-08-01T11:55:49
emp_000113,case_000075,2025-09-22T12:49:46
emp_000191,case_000076,2025-02-25T10:19:41
emp_000285,case_000077,2025-12-18T17:49:42
emp_000339,case_000078,2025-08-04T12:55:15
emp_000122,case_000079,2025-01-28T12:39:03
emp_000214,case_000080,2025-09-07T15:35:19
emp_000227,case_000081,2025-06-24T15:42:50
emp_000448,case_000082,2025-03-24T15:59:00
emp_000254,case_000083,2025-01-27T15:57:51
emp_000489,case_000084,2025-06-16T10:55:49
emp_000587,case_000085,2025-12-31T16:02:08
emp_000371,case_000086,2025-01-22T09:33:44
emp_000122,case_000087,2025-03-31T18:36:38
emp_000364,case_000088,2025-02-14T18:03:01
emp_000302,case_000089,2025-02-06T16:55:23
emp_000302,case_000090,2025-02-21T10:23:19
