employee_id,device_id,edge_timestamp
emp_000539,device_004605,2025-01-17T12:51:04
emp_000471,device_009901,2025-12-29T11:05:13
emp_000344,device_008448,2025-12-11T16:20:11
emp_000472,device_006257,2025-05-14T02:36:41
emp_000023,device_000987,2025-01-02T18:45:38
emp_000595,device_009657,2025-04-09T18:47:19
emp_000116,device_011454,2025-01-13T09:20:26
emp_000345,device_010227,2025-09-23T12:41:38
emp_000046,device_004540,2025-01-06T12:51:19
emp_000311,device_001560,2025-01-06T15:36:04
emp_000195,device_000908,2025-10-08T13:15:52
emp_000137,device_006665,2025-03-03T09:18:36
emp_000239,device_005205,2025-08-11T13:39:20
emp_000185,device_008157,2025-02-17T09:12:30
emp_000382,device_010132,2025-12-11T09:39:45
emp_000095,device_008378,2025-02-10T10:41:49
emp_000546,device_004469,2025-10-08T09:40:29
emp_000342,device_005179,2025-06-11T11:49:44
emp_000483,device_002841,2025-12-22T09:20:07
emp_000254,device_009733,2025-08-31T09:46:30
emp_000296,device_001702,2025-09-22T09:39:13
emp_000070,device_010821,2025-11-09T12:57:38
emp_000004,device_003687,2025-10-27T15:43:11
emp_000349,device_001905,2025-01-16T13:36:57
emp_000128,device_008191,2025-08-26T12:47:52
emp_000482,device_000279,2025-01-27T15:57:27
emp_000450,device_008000,2025-11-07T13:27:04
emp_000317,device_008933,2025-03-15T22:20:08
emp_000530,device_004262,2025-12-29T12:54:54
emp_000556,device_004556,2025-09-19T00:06:28
emp_000491,device_009615,2025-04-07T10:43:16
emp_000346,device_005025,2025-09-22T12:13:57
emp_000225,device_005688,2025-05-01T11:45:17
emp_000024,device_000119,2025-02-27T18:12:27
emp_000005,device_002283,2025-05-03T17:46:40
emp_000598,device_010821,2025-01-22T10:46:05
emp_000447,device_009949,2025-04-07T14:38:45
emp_000458,device_004275,2025-09-26T13:01:42
emp_000041,device_004011,2025-04-27T17:05:42
emp_000541,device_001137,2025-06-02T13:22:00
emp_000304,device_003443,2025-05-11T23:17:02
emp_000113,device_000781,2025-12-16T23:07:07
emp_000392,device_010495,2025-06-09T16:18:02
emp_000284,device_006705,2025-04-28T14:51:24
emp_000555,device_010809,2025-10-22T16:51:03
emp_000322,device_011054,2025-10-10T15:58:30
emp_000517,device_003639,2025-12-25T10:35:18
emp_000097,device_004086,2025-04-26T11:28:46
emp_000442,device_004798,2025-05-16T12:29:05
emp_000032,device_003790,2025-02-06T09:29:09
emp_000111,device_009840,2025-04-02T17:20:58
emp_000388,device_010893,2025-04-28T14:30:10
emp_000327,device_009123,2025-05-12T13:56:27
emp_000571,device_011248,2025-12-07T15:15:49
emp_000307,device_010239,2025-05-13T12:41:13
emp_000562,device_005268,2025-08-04T18:57:27
emp_000570,device_011566,2025-11-04T09:37:29
emp_000486,device_004704,2025-11-11T12:16:30
emp_000198,device_002021,2025-05-08T17:05:50
emp_000390,device_002034,2025-09-28T02:07:14
emp_000237,device_000393,2025-07-21T13:16:32
emp_000373,device_002839,2025-08-28T16:54:46
emp_000192,device_003231,2025-11-17T15:51:53
emp_000279,device_008605,2025-04-08T15:02:05
emp_000217,device_000608,2025-09-12T16:34:59
emp_000303,device_006909,2025-01-16T10:08:55
emp_000540,device_005007,2025-10-15T16:52:15
emp_000222,device_002521,2025-05-02T10:43:30
emp_000311,device_010979,2025-10-31T15:04:44
emp_000441,device_000603,2025-05-09T16:16:42
emp_000327,device_000923,2025-06-27T09:33:52
emp_000208,device_006915,2025-12-09T11:31:33
emp_000084,device_000227,2025-09-30T17:02:31
