employee_id,ip_id,edge_timestamp
emp_000539,ip_008605,2025-01-17T12:51:04
emp_000471,ip_008382,2025-12-29T11:05:13
emp_000344,ip_005788,2025-12-11T16:20:11
emp_000472,ip_000859,2025-05-14T02:36:41
emp_000023,ip_007376,2025-01-02T18:45:38
emp_000595,ip_002707,2025-04-09T18:47:19
emp_000116,ip_004563,2025-01-13T09:20:26
emp_000345,ip_003735,2025-09-23T12:41:38
emp_000046,ip_004643,2025-01-06T12:51:19
emp_000311,ip_001266,2025-01-06T15:36:04
emp_000195,ip_009446,2025-10-08T13:15:52
emp_000137,ip_002519,2025-03-03T09:18:36
emp_000239,ip_005465,2025-08-11T13:39:20
emp_000185,ip_003397,2025-02-17T09:12:30
emp_000382,ip_002710,2025-12-11T09:39:45
emp_000095,ip_001163,2025-02-10T10:41:49
emp_000546,ip_004597,2025-10-08T09:40:29
emp_000342,ip_001594,2025-06-11T11:49:44
emp_000483,ip_009210,2025-12-22T09:20:07
emp_000254,ip_001033,2025-08-31T09:46:30
emp_000296,ip_000775,2025-09-22T09:39:13
emp_000070,ip_001706,2025-11-09T12:57:38
emp_000004,ip_003394,2025-10-27T15:43:11
emp_000349,ip_008012,2025-01-16T13:36:57
emp_000128,ip_005289,2025-08-26T12:47:52
emp_000482,ip_002487,2025-01-27T15:57:27
emp_000450,ip_003544,2025-11-07T13:27:04
emp_000317,ip_005477,2025-03-15T22:20:08
emp_000530,ip_008508,2025-12-29T12:54:54
emp_000556,ip_005808,2025-09-19T00:06:28
emp_000491,ip_000774,2025-04-07T10:43:16
emp_000346,ip_000569,2025-09-22T12:13:57
emp_000225,ip_009390,2025-05-01T11:45:17
emp_000024,ip_001593,2025-02-27T18:12:27
emp_000005,ip_008543,2025-05-03T17:46:40
emp_000598,ip_001238,2025-01-22T10:46:05
emp_000447,ip_006695,2025-04-07T14:38:45
emp_000458,ip_007798,2025-09-26T13:01:42
emp_000041,ip_002717,2025-04-27T17:05:42
emp_000541,ip_005785,2025-06-02T13:22:00
emp_000304,ip_003712,2025-05-11T23:17:02
emp_000113,ip_008372,2025-12-16T23:07:07
emp_000392,ip_003511,2025-06-09T16:18:02
emp_000284,ip_008047,2025-04-28T14:51:24
emp_000555,ip_007256,2025-10-22T16:51:03
