label_id,entity_type,entity_id,ground_truth,label_timestamp,label_source,label_confidence
label_000001,TRANSACTION,txn_000001,LEGITIMATE,2025-09-21T15:31:37,automated_baseline,0.88
label_000002,TRANSACTION,txn_000002,LEGITIMATE,2025-01-14T17:13:15,automated_baseline,0.89
label_000003,TRANSACTION,txn_000003,LEGITIMATE,2025-12-23T09:27:44,automated_baseline,0.89
label_000004,TRANSACTION,txn_000004,LEGITIMATE,2025-03-03T00:10:40,fraud_analyst_review,0.9
label_000005,TRANSACTION,txn_000005,LEGITIMATE,2025-01-24T01:23:11,automated_baseline,0.96
label_000006,TRANSACTION,txn_000006,LEGITIMATE,2025-01-08T23:51:57,fraud_analyst_review,0.95
label_000007,TRANSACTION,txn_000007,LEGITIMATE,2025-08-19T09:33:45,fraud_analyst_review,0.97
label_000008,TRANSACTION,txn_000008,LEGITIMATE,2025-10-07T10:07:51,automated_baseline,0.94
label_000009,TRANSACTION,txn_000009,LEGITIMATE,2025-01-09T11:24:02,automated_baseline,0.86
label_000010,TRANSACTION,txn_000010,LEGITIMATE,2025-06-14T13:01:00,automated_baseline,0.89
label_000011,TRANSACTION,txn_000011,LEGITIMATE,2025-08-11T13:05:33,automated_baseline,0.89
label_000012,TRANSACTION,txn_000012,LEGITIMATE,2025-10-27T07:21:09,automated_baseline,0.92
label_000013,TRANSACTION,txn_000013,LEGITIMATE,2025-11-01T10:21:09,fraud_analyst_review,0.94
label_000014,TRANSACTION,txn_000014,LEGITIMATE,2025-10-19T03:29:53,automated_baseline,0.87
label_000015,TRANSACTION,txn_000015,LEGITIMATE,2025-04-30T20:44:23,fraud_analyst_review,0.89
label_000016,TRANSACTION,txn_000016,LEGITIMATE,2025-09-04T22:01:35,fraud_analyst_review,0.98
label_000017,TRANSACTION,txn_000017,LEGITIMATE,2025-12-28T20:16:22,automated_baseline,0.91
label_000018,TRANSACTION,txn_000018,LEGITIMATE,2025-10-18T21:17:05,fraud_analyst_review,0.93
label_000019,TRANSACTION,txn_000019,LEGITIMATE,2025-08-29T22:59:11,automated_baseline,0.96
label_000020,TRANSACTION,txn_000020,LEGITIMATE,2025-09-19T15:53:08,automated_baseline,0.92
label_000021,TRANSACTION,txn_000021,LEGITIMATE,2025-11-08T23:39:22,fraud_analyst_review,0.97
label_000022,TRANSACTION,txn_000022,LEGITIMATE,2025-10-13T07:11:47,fraud_analyst_review,0.96
label_000023,TRANSACTION,txn_000023,LEGITIMATE,2025-05-28T08:52:20,automated_baseline,0.87
label_000024,TRANSACTION,txn_000024,LEGITIMATE,2025-09-18T08:10:01,fraud_analyst_review,0.88
label_000025,TRANSACTION,txn_000025,LEGITIMATE,2025-08-27T12:20:52,automated_baseline,0.87
label_000026,TRANSACTION,txn_000026,LEGITIMATE,2025-04-22T11:44:21,fraud_analyst_review,0.89
label_000027,TRANSACTION,txn_000027,LEGITIMATE,2025-07-11T03:04:02,automated_baseline,0.95
label_000028,TRANSACTION,txn_000028,LEGITIMATE,2025-11-11T07:49:19,fraud_analyst_review,0.89
label_000029,TRANSACTION,txn_000029,LEGITIMATE,2025-09-20T20:45:36,fraud_analyst_review,0.91
label_000030,TRANSACTION,txn_000030,LEGITIMATE,2025-07-25T01:01:48,automated_baseline,0.9
label_000031,TRANSACTION,txn_000031,LEGITIMATE,2025-06-18T19:12:59,fraud_analyst_review,0.91
label_000032,TRANSACTION,txn_000032,LEGITIMATE,2025-09-24T13:20:02,automated_baseline,0.96
label_000033,TRANSACTION,txn_000033,LEGITIMATE,2025-09-25T13:29:02,fraud_analyst_review,0.9
label_000034,TRANSACTION,txn_000034,LEGITIMATE,2025-05-21T21:45:25,automated_baseline,0.96
label_000035,TRANSACTION,txn_000035,LEGITIMATE,2025-11-04T17:50:11,fraud_analyst_review,0.97
label_000036,TRANSACTION,txn_000036,LEGITIMATE,2025-09-05T05:01:38,automated_baseline,0.97
label_000037,TRANSACTION,txn_000037,LEGITIMATE,2025-03-06T02:01:24,automated_baseline,0.93
label_000038,TRANSACTION,txn_000038,LEGITIMATE,2025-12-03T23:15:14,automated_baseline,0.91
label_000039,TRANSACTION,txn_000039,LEGITIMATE,2025-02-16T01:09:36,fraud_analyst_review,0.91
label_000040,TRANSACTION,txn_000040,LEGITIMATE,2025-06-10T04:02:34,fraud_analyst_review,0.89
label_000041,TRANSACTION,txn_000041,LEGITIMATE,2025-03-27T02:19:55,automated_baseline,0.89
label_000042,TRANSACTION,txn_000042,LEGITIMATE,2025-07-28T23:00:40,automated_baseline,0.85
label_000043,TRANSACTION,txn_000043,LEGITIMATE,2025-04-10T23:01:54,automated_baseline,0.9
label_000044,TRANSACTION,txn_000044,LEGITIMATE,2025-06-23T06:53:46,automated_baseline,0.98
label_000045,TRANSACTION,txn_000045,LEGITIMATE,2025-09-06T21:05:25,fraud_analyst_review,0.94
label_000046,TRANSACTION,txn_000046,LEGITIMATE,2025-06-08T14:14:16,automated_baseline,0.97
label_000047,TRANSACTION,txn_000047,LEGITIMATE,2025-10-03T10:28:33,fraud_analyst_review,0.93
label_000048,TRANSACTION,txn_000048,LEGITIMATE,2025-10-27T02:06:08,automated_baseline,0.94
label_000049,TRANSACTION,txn_000049,LEGITIMATE,2025-08-30T16:52:23,fraud_analyst_review,0.98
label_000050,TRANSACTION,txn_000050,LEGITIMATE,2025-12-01T02:02:24,automated_baseline,0.97
label_000051,TRANSACTION,txn_000051,LEGITIMATE,2025-01-12T14:20:52,automated_baseline,0.89
label_000052,TRANSACTION,txn_000052,LEGITIMATE,2025-09-30T12:07:25,automated_baseline,0.86
label_000053,TRANSACTION,txn_000053,LEGITIMATE,2025-08-17T23:00:23,fraud_analyst_review,0.94
label_000054,TRANSACTION,txn_000054,LEGITIMATE,2025-08-21T01:17:48,fraud_analyst_review,0.86
label_000055,TRANSACTION,txn_000055,LEGITIMATE,2025-04-01T10:19:48,fraud_analyst_review,0.95
label_000056,TRANSACTION,txn_000056,LEGITIMATE,2025-06-14T04:07:50,fraud_analyst_review,0.88
label_000057,TRANSACTION,txn_000057,LEGITIMATE,2025-09-04T01:41:30,fraud_analyst_review,0.97
label_000058,TRANSACTION,txn_000058,LEGITIMATE,2025-03-03T00:41:24,fraud_analyst_review,0.88
label_000059,TRANSACTION,txn_000059,LEGITIMATE,2025-02-27T04:31:16,fraud_analyst_review,0.96
label_000060,TRANSACTION,txn_000060,LEGITIMATE,2025-08-03T06:59:23,automated_baseline,0.99
label_000061,TRANSACTION,txn_000061,LEGITIMATE,2025-11-30T05:08:12,fraud_analyst_review,0.95
label_000062,TRANSACTION,txn_000062,LEGITIMATE,2025-12-04T12:10:58,automated_baseline,0.9
label_000063,TRANSACTION,txn_000063,LEGITIMATE,2025-06-08T18:47:53,automated_baseline,0.97
label_000064,TRANSACTION,txn_000064,LEGITIMATE,2025-11-19T03:35:34,fraud_analyst_review,0.97
label_000065,TRANSACTION,txn_000065,LEGITIMATE,2025-06-20T17:54:24,automated_baseline,0.92
label_000066,TRANSACTION,txn_000066,LEGITIMATE,2025-09-12T07:14:11,fraud_analyst_review,0.91
label_000067,TRANSACTION,txn_000067,LEGITIMATE,2025-11-10T05:21:40,automated_baseline,0.98
label_000068,TRANSACTION,txn_000068,LEGITIMATE,2025-11-19T20:04:44,fraud_analyst_review,0.87
label_000069,TRANSACTION,txn_000069,LEGITIMATE,2025-01-18T05:56:30,fraud_analyst_review,0.9
label_000070,TRANSACTION,txn_000070,LEGITIMATE,2025-01-20T07:56:30,automated_baseline,0.94
label_000071,TRANSACTION,txn_000071,LEGITIMATE,2025-10-11T18:48:09,fraud_analyst_review,0.96
label_000072,TRANSACTION,txn_000072,LEGITIMATE,2025-09-04T06:29:47,fraud_analyst_review,0.98
label_000073,TRANSACTION,txn_000073,LEGITIMATE,2025-01-29T12:41:30,automated_baseline,0.94
label_000074,TRANSACTION,txn_000074,LEGITIMATE,2025-01-27T15:45:09,fraud_analyst_review,0.85
label_000075,TRANSACTION,txn_000075,LEGITIMATE,2025-08-05T20:39:32,fraud_analyst_review,0.87
label_000076,TRANSACTION,txn_000076,LEGITIMATE,2025-07-12T13:30:41,automated_baseline,0.95
label_000077,TRANSACTION,txn_000077,LEGITIMATE,2025-12-13T10:11:45,fraud_analyst_review,0.9
label_000078,TRANSACTION,txn_000078,LEGITIMATE,2025-02-17T05:45:06,fraud_analyst_review,0.91
label_000079,TRANSACTION,txn_000079,LEGITIMATE,2025-05-19T13:47:51,automated_baseline,0.95
label_000080,TRANSACTION,txn_000080,LEGITIMATE,2025-11-02T11:29:18,fraud_analyst_review,0.97
label_000081,TRANSACTION,txn_000081,LEGITIMATE,2025-08-26T08:05:34,automated_baseline,0.93
label_000082,TRANSACTION,txn_000082,LEGITIMATE,2025-12-29T19:56:43,automated_baseline,0.88
label_000083,TRANSACTION,txn_000083,LEGITIMATE,2025-01-30T05:46:24,automated_baseline,0.97
label_000084,TRANSACTION,txn_000084,LEGITIMATE,2025-02-02T00:41:59,fraud_analyst_review,0.87
label_000085,TRANSACTION,txn_000085,LEGITIMATE,2025-10-04T08:11:53,automated_baseline,0.87
label_000086,TRANSACTION,txn_000086,LEGITIMATE,2025-01-14T20:42:37,fraud_analyst_review,0.88
label_000087,TRANSACTION,txn_000087,LEGITIMATE,2025-02-09T01:37:45,automated_baseline,0.86
label_000088,TRANSACTION,txn_000088,LEGITIMATE,2025-05-01T04:19:42,automated_baseline,0.93
label_000089,TRANSACTION,txn_000089,LEGITIMATE,2025-04-18T23:46:08,automated_baseline,0.95
label_000090,TRANSACTION,txn_000090,LEGITIMATE,2025-04-21T22:00:08,fraud_analyst_review,0.92
label_000091,TRANSACTION,txn_000091,LEGITIMATE,2025-04-04T15:54:02,automated_baseline,0.93
label_000092,TRANSACTION,txn_000092,LEGITIMATE,2025-05-31T22:15:35,automated_baseline,0.96
label_000093,TRANSACTION,txn_000093,LEGITIMATE,2025-02-06T22:02:24,automated_baseline,0.91
label_000094,TRANSACTION,txn_000094,LEGITIMATE,2025-02-07T12:29:24,automated_baseline,0.91
label_000095,TRANSACTION,txn_000095,LEGITIMATE,2025-11-13T10:40:02,fraud_analyst_review,0.86
label_000096,TRANSACTION,txn_000096,LEGITIMATE,2025-09-01T16:10:32,fraud_analyst_review,0.96
label_000097,TRANSACTION,txn_000097,LEGITIMATE,2025-02-01T05:34:20,fraud_analyst_review,0.86
label_000098,TRANSACTION,txn_000098,LEGITIMATE,2025-12-30T09:07:09,fraud_analyst_review,0.93
label_000099,TRANSACTION,txn_000099,LEGITIMATE,2025-06-15T16:13:22,fraud_analyst_review,0.98
label_000100,TRANSACTION,txn_000100,LEGITIMATE,2025-03-20T22:30:41,automated_baseline,0.89
label_000101,TRANSACTION,txn_000101,LEGITIMATE,2025-09-16T06:23:51,fraud_analyst_review,0.89
label_000102,TRANSACTION,txn_000102,LEGITIMATE,2025-03-07T22:49:52,automated_baseline,0.89
label_000103,TRANSACTION,txn_000103,LEGITIMATE,2025-12-19T10:55:03,automated_baseline,0.86
label_000104,TRANSACTION,txn_000104,LEGITIMATE,2025-04-15T03:54:04,automated_baseline,0.96
label_000105,TRANSACTION,txn_000105,LEGITIMATE,2025-03-12T13:10:58,automated_baseline,0.87
label_000106,TRANSACTION,txn_000106,LEGITIMATE,2025-11-21T23:32:39,fraud_analyst_review,0.87
label_000107,TRANSACTION,txn_000107,LEGITIMATE,2025-09-19T22:59:09,automated_baseline,0.9
label_000108,TRANSACTION,txn_000108,LEGITIMATE,2025-02-16T13:48:23,automated_baseline,0.9
label_000109,TRANSACTION,txn_000109,LEGITIMATE,2025-10-23T15:28:11,automated_baseline,0.96
label_000110,TRANSACTION,txn_000110,LEGITIMATE,2025-01-06T22:17:44,automated_baseline,0.96
label_000111,TRANSACTION,txn_000111,LEGITIMATE,2025-09-05T13:59:04,automated_baseline,0.93
label_000112,TRANSACTION,txn_000112,LEGITIMATE,2025-08-13T17:58:40,fraud_analyst_review,0.98
label_000113,TRANSACTION,txn_000113,LEGITIMATE,2025-07-18T00:40:14,automated_baseline,0.87
label_000114,TRANSACTION,txn_000114,LEGITIMATE,2025-06-14T22:52:28,fraud_analyst_review,0.88
label_000115,TRANSACTION,txn_000115,LEGITIMATE,2025-03-30T17:48:15,automated_baseline,0.93
label_000116,TRANSACTION,txn_000116,LEGITIMATE,2025-12-25T20:40:38,automated_baseline,0.87
label_000117,TRANSACTION,txn_000117,LEGITIMATE,2025-02-05T08:10:34,automated_baseline,0.92
label_000118,TRANSACTION,txn_000118,LEGITIMATE,2025-02-04T20:05:34,automated_baseline,0.91
label_000119,TRANSACTION,txn_000119,LEGITIMATE,2025-01-18T14:35:44,fraud_analyst_review,0.95
label_000120,TRANSACTION,txn_000120,LEGITIMATE,2025-02-15T04:43:07,automated_baseline,0.91
label_000121,TRANSACTION,txn_000121,LEGITIMATE,2025-05-02T05:03:05,fraud_analyst_review,0.98
label_000122,TRANSACTION,txn_000122,LEGITIMATE,2025-07-27T08:40:06,automated_baseline,0.85
label_000123,TRANSACTION,txn_000123,LEGITIMATE,2025-03-17T12:30:12,automated_baseline,0.91
label_000124,TRANSACTION,txn_000124,LEGITIMATE,2025-12-15T09:38:40,automated_baseline,0.91
label_000125,TRANSACTION,txn_000125,LEGITIMATE,2025-06-27T16:52:58,automated_baseline,0.95
label_000126,TRANSACTION,txn_000126,LEGITIMATE,2025-07-22T01:02:52,automated_baseline,0.89
label_000127,TRANSACTION,txn_000127,LEGITIMATE,2025-04-10T02:19:27,automated_baseline,0.88
label_000128,TRANSACTION,txn_000128,LEGITIMATE,2025-09-04T20:50:29,fraud_analyst_review,0.9
label_000129,TRANSACTION,txn_000129,LEGITIMATE,2025-07-27T19:17:54,automated_baseline,0.88
label_000130,TRANSACTION,txn_000130,LEGITIMATE,2025-03-02T01:18:18,fraud_analyst_review,0.92
label_000131,TRANSACTION,txn_000131,LEGITIMATE,2025-06-12T03:26:18,fraud_analyst_review,0.94
label_000132,TRANSACTION,txn_000132,LEGITIMATE,2025-03-28T18:09:13,fraud_analyst_review,0.88
label_000133,TRANSACTION,txn_000133,LEGITIMATE,2025-04-05T08:50:47,fraud_analyst_review,0.91
label_000134,TRANSACTION,txn_000134,LEGITIMATE,2025-07-13T13:31:09,automated_baseline,0.99
label_000135,TRANSACTION,txn_000135,LEGITIMATE,2025-04-25T13:08:18,automated_baseline,0.89
label_000136,TRANSACTION,txn_000136,LEGITIMATE,2025-11-14T00:25:04,fraud_analyst_review,0.98
label_000137,TRANSACTION,txn_000137,LEGITIMATE,2025-10-01T06:32:11,fraud_analyst_review,0.94
label_000138,TRANSACTION,txn_000138,LEGITIMATE,2025-06-15T17:52:22,fraud_analyst_review,0.94
label_000139,TRANSACTION,txn_000139,LEGITIMATE,2025-07-04T18:15:05,fraud_analyst_review,0.9
label_000140,TRANSACTION,txn_000140,LEGITIMATE,2025-08-07T15:06:16,automated_baseline,0.93
label_000141,TRANSACTION,txn_000141,LEGITIMATE,2025-05-02T05:53:37,fraud_analyst_review,0.86
label_000142,TRANSACTION,txn_000142,LEGITIMATE,2025-11-20T09:28:02,automated_baseline,0.94
label_000143,TRANSACTION,txn_000143,LEGITIMATE,2025-10-22T19:52:57,fraud_analyst_review,0.85
label_000144,TRANSACTION,txn_000144,LEGITIMATE,2025-04-10T05:53:19,fraud_analyst_review,0.89
label_000145,TRANSACTION,txn_000145,LEGITIMATE,2025-12-23T12:07:11,fraud_analyst_review,0.85
label_000146,TRANSACTION,txn_000146,LEGITIMATE,2025-12-17T05:50:23,fraud_analyst_review,0.88
