tag_id,entity_type,entity_id,scenario_type,is_adversarial,is_hard_negative
tag_000001,EMPLOYEE,emp_000350,legitimate_high_volume_support,False,True
tag_000002,TRANSACTION,txn_076155,legitimate_access_before_txn,False,True
tag_000003,EMPLOYEE,emp_000584,legitimate_high_volume_support,False,True
tag_000004,EMPLOYEE,emp_000584,legitimate_high_volume_support,False,True
tag_000005,EMPLOYEE,emp_000143,legitimate_high_volume_support,False,True
tag_000006,TRANSACTION,txn_076156,legitimate_access_before_txn,False,True
tag_000007,EMPLOYEE,emp_000567,legitimate_high_volume_support,False,True
tag_000008,EMPLOYEE,emp_000584,legitimate_high_volume_support,False,True
tag_000009,EMPLOYEE,emp_000417,legitimate_high_volume_support,False,True
tag_000010,TRANSACTION,txn_076157,legitimate_access_before_txn,False,True
tag_000011,EMPLOYEE,emp_000105,legitimate_high_volume_support,False,True
tag_000012,EMPLOYEE,emp_000378,legitimate_high_volume_support,False,True
tag_000013,EMPLOYEE,emp_000544,legitimate_high_volume_support,False,True
tag_000014,EMPLOYEE,emp_000428,legitimate_high_volume_support,False,True
tag_000015,EMPLOYEE,emp_000013,legitimate_high_volume_support,False,True
tag_000016,EMPLOYEE,emp_000519,legitimate_high_volume_support,False,True
tag_000017,TRANSACTION,txn_076158,legitimate_access_before_txn,False,True
tag_000018,EMPLOYEE,emp_000163,legitimate_high_volume_support,False,True
tag_000019,EMPLOYEE,emp_000342,legitimate_high_volume_support,False,True
tag_000020,TRANSACTION,txn_076159,legitimate_access_before_txn,False,True
tag_000021,EMPLOYEE,emp_000248,legitimate_high_volume_support,False,True
tag_000022,TRANSACTION,txn_076160,legitimate_access_before_txn,False,True
tag_000023,EMPLOYEE,emp_000460,legitimate_high_volume_support,False,True
tag_000024,TRANSACTION,txn_076161,legitimate_access_before_txn,False,True
tag_000025,EMPLOYEE,emp_000290,legitimate_high_volume_support,False,True
tag_000026,EMPLOYEE,emp_000415,legitimate_high_volume_support,False,True
tag_000027,TRANSACTION,txn_076162,legitimate_access_before_txn,False,True
tag_000028,EMPLOYEE,emp_000186,legitimate_high_volume_support,False,True
tag_000029,EMPLOYEE,emp_000076,legitimate_high_volume_support,False,True
tag_000030,EMPLOYEE,emp_000332,legitimate_high_volume_support,False,True
tag_000031,EMPLOYEE,emp_000369,legitimate_high_volume_support,False,True
tag_000032,EMPLOYEE,emp_000160,legitimate_high_volume_support,False,True
tag_000033,TRANSACTION,txn_076163,legitimate_access_before_txn,False,True
tag_000034,EMPLOYEE,emp_000581,legitimate_high_volume_support,False,True
tag_000035,EMPLOYEE,emp_000137,legitimate_high_volume_support,False,True
tag_000036,TRANSACTION,txn_076164,legitimate_access_before_txn,False,True
tag_000037,EMPLOYEE,emp_000383,legitimate_high_volume_support,False,True
tag_000038,EMPLOYEE,emp_000067,legitimate_high_volume_support,False,True
tag_000039,EMPLOYEE,emp_000540,legitimate_high_volume_support,False,True
tag_000040,TRANSACTION,txn_076165,legitimate_access_before_txn,False,True
tag_000041,EMPLOYEE,emp_000406,legitimate_high_volume_support,False,True
tag_000042,TRANSACTION,txn_076166,legitimate_access_before_txn,False,True
tag_000043,EMPLOYEE,emp_000155,legitimate_high_volume_support,False,True
tag_000044,TRANSACTION,txn_076167,legitimate_access_before_txn,False,True
tag_000045,EMPLOYEE,emp_000026,legitimate_high_volume_support,False,True
tag_000046,EMPLOYEE,emp_000290,legitimate_high_volume_support,False,True
