account_id,consumer_id
acct_000001,consumer_000001
acct_000002,consumer_000002
acct_000003,consumer_000003
acct_000004,consumer_000004
acct_000005,consumer_000005
acct_000006,consumer_000006
acct_000007,consumer_000007
acct_000008,consumer_000008
acct_000009,consumer_000009
acct_000010,consumer_000010
acct_000011,consumer_000011
acct_000012,consumer_000012
acct_000013,consumer_000013
acct_000014,consumer_000014
acct_000015,consumer_000015
acct_000016,consumer_000016
acct_000017,consumer_000017
acct_000018,consumer_000018
acct_000019,consumer_000019
acct_000020,consumer_000020
acct_000021,consumer_000021
acct_000022,consumer_000022
acct_000023,consumer_000023
acct_000024,consumer_000024
acct_000025,consumer_000025
acct_000026,consumer_000026
acct_000027,consumer_000027
acct_000028,consumer_000028
acct_000029,consumer_000029
acct_000030,consumer_000030
acct_000031,consumer_000031
acct_000032,consumer_000031
acct_000033,consumer_000031
acct_000034,consumer_000032
acct_000035,consumer_000032
acct_000036,consumer_000033
acct_000037,consumer_000034
acct_000038,consumer_000035
acct_000039,consumer_000036
acct_000040,consumer_000037
acct_000041,consumer_000038
acct_000042,consumer_000039
acct_000043,consumer_000040
acct_000044,consumer_000041
acct_000045,consumer_000041
acct_000046,consumer_000041
acct_000047,consumer_000042
acct_000048,consumer_000043
acct_000049,consumer_000044
acct_000050,consumer_000045
acct_000051,consumer_000046
acct_000052,consumer_000047
acct_000053,consumer_000047
acct_000054,consumer_000047
acct_000055,consumer_000048
acct_000056,consumer_000048
acct_000057,consumer_000048
acct_000058,consumer_000049
acct_000059,consumer_000050
acct_000060,consumer_000051
acct_000061,consumer_000052
acct_000062,consumer_000053
acct_000063,consumer_000054
acct_000064,consumer_000055
acct_000065,consumer_000056
acct_000066,consumer_000056
acct_000067,consumer_000057
acct_000068,consumer_000057
acct_000069,consumer_000058
acct_000070,consumer_000059
acct_000071,consumer_000060
acct_000072,consumer_000061
acct_000073,consumer_000062
acct_000074,consumer_000063
acct_000075,consumer_000064
acct_000076,consumer_000064
acct_000077,consumer_000064
acct_000078,consumer_000065
acct_000079,consumer_000065
acct_000080,consumer_000065
acct_000081,consumer_000066
acct_000082,consumer_000067
acct_000083,consumer_000068
acct_000084,consumer_000069
acct_000085,consumer_000070
acct_000086,consumer_000070
acct_000087,consumer_000071
acct_000088,consumer_000072
acct_000089,consumer_000073
acct_000090,consumer_000074
acct_000091,consumer_000075
acct_000092,consumer_000076
acct_000093,consumer_000077
acct_000094,consumer_000078
acct_000095,consumer_000079
acct_000096,consumer_000080
acct_000097,consumer_000081
acct_000098,consumer_000082
acct_000099,consumer_000083
acct_000100,consumer_000083
acct_000101,consumer_000084
acct_000102,consumer_000085
acct_000103,consumer_000085
acct_000104,consumer_000086
acct_000105,consumer_000087
acct_000106,consumer_000088
acct_000107,consumer_000089
acct_000108,consumer_000089
acct_000109,consumer_000090
acct_000110,consumer_000091
acct_000111,consumer_000092
acct_000112,consumer_000093
acct_000113,consumer_000094
acct_000114,consumer_000095
acct_000115,consumer_000096
acct_000116,consumer_000097
acct_000117,consumer_000098
acct_000118,consumer_000099
acct_000119,consumer_000099
acct_000120,consumer_000099
acct_000121,consumer_000100
acct_000122,consumer_000101
acct_000123,consumer_000102
acct_000124,consumer_000102
acct_000125,consumer_000102
acct_000126,consumer_000103
acct_000127,consumer_000104
acct_000128,consumer_000105
acct_000129,consumer_000106
acct_000130,consumer_000107
acct_000131,consumer_000107
acct_000132,consumer_000108
acct_000133,consumer_000108
acct_000134,consumer_000108
acct_000135,consumer_000109
acct_000136,consumer_000110
acct_000137,consumer_000111
acct_000138,consumer_000112
acct_000139,consumer_000113
acct_000140,consumer_000114
acct_000141,consumer_000115
acct_000142,consumer_000115
acct_000143,consumer_000115
acct_000144,consumer_000116
acct_000145,consumer_000117
acct_000146,consumer_000118
acct_000147,consumer_000119
acct_000148,consumer_000120
acct_000149,consumer_000121
acct_000150,consumer_000122
acct_000151,consumer_000122
acct_000152,consumer_000122
acct_000153,consumer_000123
acct_000154,consumer_000124
acct_000155,consumer_000125
acct_000156,consumer_000126
acct_000157,consumer_000127
acct_000158,consumer_000128
acct_000159,consumer_000129
acct_000160,consumer_000130
acct_000161,consumer_000131
acct_000162,consumer_000132
acct_000163,consumer_000133
acct_000164,consumer_000133
acct_000165,consumer_000134
acct_000166,consumer_000135
acct_000167,consumer_000136
acct_000168,consumer_000137
acct_000169,consumer_000138
acct_000170,consumer_000139
acct_000171,consumer_000140
acct_000172,consumer_000141
acct_000173,consumer_000142
acct_000174,consumer_000143
acct_000175,consumer_000144
acct_000176,consumer_000144
acct_000177,consumer_000144
acct_000178,consumer_000145
acct_000179,consumer_000145
acct_000180,consumer_000145
acct_000181,consumer_000146
acct_000182,consumer_000147
