case_id,opened_at,status
case_000001,2025-08-25T09:15:13,closed_no_action
case_000002,2025-02-10T15:57:01,closed_no_action
case_000003,2025-05-12T10:05:13,closed_no_action
case_000004,2025-12-16T17:37:32,closed_no_action
case_000005,2025-04-01T18:40:20,closed_no_action
case_000006,2025-03-10T11:32:03,closed_no_action
case_000007,2025-12-05T17:16:52,closed_no_action
case_000008,2025-11-03T14:38:38,closed_no_action
case_000009,2025-02-11T14:23:24,closed_no_action
case_000010,2025-11-20T16:46:29,closed_no_action
case_000011,2025-02-10T18:02:12,closed_no_action
case_000012,2025-01-30T11:25:16,closed_no_action
case_000013,2025-02-26T16:15:17,closed_no_action
case_000014,2025-02-25T18:33:34,closed_no_action
case_000015,2025-09-05T13:50:51,closed_no_action
case_000016,2025-04-14T09:59:19,closed_no_action
case_000017,2025-01-08T14:51:54,closed_no_action
case_000018,2025-12-15T12:13:27,closed_no_action
case_000019,2025-05-12T16:17:31,closed_no_action
case_000020,2025-03-03T15:54:53,closed_no_action
case_000021,2025-11-10T12:47:29,closed_no_action
case_000022,2025-02-24T12:33:02,closed_no_action
case_000023,2025-09-25T18:37:04,closed_no_action
case_000024,2025-11-04T17:34:43,closed_no_action
case_000025,2025-08-13T14:36:31,closed_no_action
case_000026,2025-01-24T17:40:09,closed_no_action
case_000027,2025-08-11T18:34:41,closed_no_action
case_000028,2025-03-17T12:48:33,closed_no_action
case_000029,2025-12-17T18:09:12,closed_no_action
case_000030,2025-03-19T17:29:16,closed_no_action
case_000031,2025-10-31T12:32:02,closed_no_action
case_000032,2025-03-31T17:53:57,closed_no_action
case_000033,2025-04-15T18:59:13,closed_no_action
case_000034,2025-07-15T18:22:16,closed_no_action
case_000035,2025-10-16T13:26:39,closed_no_action
case_000036,2025-12-03T09:24:21,closed_no_action
case_000037,2025-03-14T11:58:01,closed_no_action
case_000038,2025-03-30T18:21:29,closed_no_action
case_000039,2025-06-17T10:47:42,closed_no_action
case_000040,2025-06-05T18:47:18,closed_no_action
case_000041,2025-12-29T14:47:58,closed_no_action
case_000042,2025-05-14T12:09:38,closed_no_action
case_000043,2025-01-13T11:54:59,closed_no_action
case_000044,2025-06-27T17:36:14,closed_no_action
case_000045,2025-06-09T15:00:59,closed_no_action
case_000046,2025-09-12T18:34:10,closed_no_action
case_000047,2025-08-18T11:12:44,closed_no_action
case_000048,2025-08-26T17:26:32,closed_no_action
