device_id,device_type
device_000001,corporate_workstation
device_000002,desktop
device_000003,customer_service_terminal
device_000004,mobile
device_000005,mobile
device_000006,customer_service_terminal
device_000007,mobile
device_000008,customer_service_terminal
device_000009,mobile
device_000010,customer_service_terminal
device_000011,customer_service_terminal
device_000012,tablet
device_000013,corporate_workstation
device_000014,corporate_workstation
device_000015,customer_service_terminal
device_000016,desktop
device_000017,corporate_workstation
device_000018,corporate_workstation
device_000019,corporate_workstation
device_000020,tablet
device_000021,tablet
device_000022,desktop
device_000023,desktop
device_000024,customer_service_terminal
device_000025,corporate_workstation
device_000026,desktop
device_000027,mobile
device_000028,tablet
device_000029,customer_service_terminal
device_000030,tablet
device_000031,mobile
device_000032,corporate_workstation
device_000033,tablet
device_000034,tablet
device_000035,mobile
device_000036,desktop
device_000037,tablet
device_000038,mobile
device_000039,tablet
device_000040,desktop
device_000041,corporate_workstation
device_000042,customer_service_terminal
device_000043,tablet
device_000044,mobile
device_000045,tablet
device_000046,mobile
device_000047,corporate_workstation
device_000048,tablet
device_000049,desktop
device_000050,tablet
device_000051,tablet
device_000052,mobile
device_000053,desktop
device_000054,desktop
device_000055,corporate_workstation
device_000056,mobile
device_000057,corporate_workstation
device_000058,customer_service_terminal
device_000059,corporate_workstation
device_000060,mobile
device_000061,mobile
device_000062,corporate_workstation
device_000063,desktop
device_000064,mobile
device_000065,mobile
device_000066,tablet
device_000067,desktop
device_000068,mobile
device_000069,tablet
device_000070,tablet
device_000071,mobile
device_000072,corporate_workstation
device_000073,tablet
device_000074,mobile
device_000075,corporate_workstation
device_000076,customer_service_terminal
device_000077,tablet
device_000078,customer_service_terminal
device_000079,mobile
device_000080,corporate_workstation
device_000081,desktop
device_000082,desktop
device_000083,corporate_workstation
device_000084,corporate_workstation
device_000085,mobile
device_000086,desktop
device_000087,desktop
device_000088,customer_service_terminal
device_000089,corporate_workstation
device_000090,corporate_workstation
device_000091,tablet
device_000092,customer_service_terminal
device_000093,corporate_workstation
device_000094,mobile
device_000095,tablet
device_000096,corporate_workstation
device_000097,corporate_workstation
device_000098,desktop
device_000099,mobile
device_000100,corporate_workstation
device_000101,tablet
device_000102,customer_service_terminal
device_000103,mobile
device_000104,corporate_workstation
device_000105,tablet
device_000106,mobile
device_000107,customer_service_terminal
device_000108,mobile
device_000109,customer_service_terminal
device_000110,customer_service_terminal
device_000111,customer_service_terminal
device_000112,tablet
device_000113,tablet
device_000114,corporate_workstation
device_000115,tablet
device_000116,customer_service_terminal
device_000117,desktop
device_000118,tablet
device_000119,corporate_workstation
device_000120,tablet
device_000121,mobile
device_000122,customer_service_terminal
device_000123,desktop
device_000124,desktop
device_000125,corporate_workstation
device_000126,customer_service_terminal
device_000127,tablet
device_000128,corporate_workstation
device_000129,customer_service_terminal
device_000130,tablet
device_000131,tablet
device_000132,customer_service_terminal
device_000133,mobile
device_000134,corporate_workstation
device_000135,tablet
device_000136,mobile
device_000137,desktop
device_000138,desktop
device_000139,tablet
device_000140,tablet
device_000141,mobile
device_000142,customer_service_terminal
device_000143,corporate_workstation
device_000144,desktop
device_000145,mobile
device_000146,mobile
device_000147,customer_service_terminal
device_000148,desktop
device_000149,desktop
device_000150,mobile
device_000151,customer_service_terminal
device_000152,corporate_workstation
device_000153,tablet
device_000154,tablet
device_000155,desktop
device_000156,desktop
device_000157,desktop
device_000158,desktop
device_000159,customer_service_terminal
device_000160,tablet
device_000161,desktop
device_000162,desktop
device_000163,desktop
device_000164,customer_service_terminal
device_000165,tablet
device_000166,corporate_workstation
device_000167,corporate_workstation
device_000168,mobile
device_000169,desktop
device_000170,customer_service_terminal
device_000171,desktop
device_000172,corporate_workstation
device_000173,desktop
device_000174,desktop
device_000175,tablet
device_000176,tablet
device_000177,tablet
device_000178,customer_service_terminal
device_000179,customer_service_terminal
device_000180,desktop
device_000181,corporate_workstation
device_000182,desktop
device_000183,tablet
device_000184,tablet
device_000185,desktop
device_000186,customer_service_terminal
device_000187,desktop
device_000188,desktop
device_000189,customer_service_terminal
device_000190,corporate_workstation
device_000191,desktop
device_000192,mobile
device_000193,desktop
device_000194,desktop
device_000195,desktop
device_000196,mobile
device_000197,customer_service_terminal
device_000198,mobile
device_000199,corporate_workstation
device_000200,mobile
device_000201,mobile
device_000202,tablet
device_000203,customer_service_terminal
device_000204,desktop
device_000205,desktop
device_000206,desktop
device_000207,customer_service_terminal
device_000208,corporate_workstation
device_000209,corporate_workstation
device_000210,desktop
device_000211,desktop
device_000212,corporate_workstation
device_000213,tablet
device_000214,mobile
device_000215,customer_service_terminal
device_000216,customer_service_terminal
device_000217,customer_service_terminal
device_000218,desktop
device_000219,customer_service_terminal
device_000220,mobile
device_000221,tablet
device_000222,corporate_workstation
device_000223,corporate_workstation
device_000224,mobile
device_000225,corporate_workstation
device_000226,corporate_workstation
device_000227,corporate_workstation
device_000228,desktop
device_000229,tablet
device_000230,mobile
device_000231,tablet
device_000232,corporate_workstation
device_000233,tablet
device_000234,customer_service_terminal
device_000235,customer_service_terminal
device_000236,customer_service_terminal
device_000237,mobile
device_000238,desktop
device_000239,customer_service_terminal
device_000240,desktop
device_000241,mobile
device_000242,mobile
device_000243,mobile
device_000244,tablet
device_000245,corporate_workstation
device_000246,desktop
device_000247,desktop
device_000248,desktop
device_000249,desktop
device_000250,tablet
device_000251,desktop
device_000252,desktop
device_000253,tablet
device_000254,tablet
device_000255,tablet
device_000256,tablet
device_000257,desktop
device_000258,desktop
device_000259,mobile
device_000260,tablet
device_000261,customer_service_terminal
device_000262,mobile
device_000263,tablet
device_000264,tablet
device_000265,corporate_workstation
device_000266,tablet
device_000267,mobile
device_000268,tablet
device_000269,mobile
device_000270,desktop
device_000271,customer_service_terminal
device_000272,corporate_workstation
device_000273,mobile
device_000274,desktop
device_000275,tablet
device_000276,mobile
device_000277,corporate_workstation
device_000278,customer_service_terminal
device_000279,corporate_workstation
device_000280,desktop
device_000281,customer_service_terminal
device_000282,customer_service_terminal
device_000283,corporate_workstation
device_000284,desktop
device_000285,corporate_workstation
device_000286,mobile
device_000287,mobile
device_000288,tablet
device_000289,corporate_workstation
device_000290,mobile
device_000291,desktop
device_000292,tablet
device_000293,corporate_workstation
device_000294,mobile
device_000295,tablet
device_000296,tablet
device_000297,corporate_workstation
device_000298,customer_service_terminal
device_000299,desktop
device_000300,tablet
device_000301,tablet
device_000302,tablet
device_000303,desktop
device_000304,corporate_workstation
device_000305,customer_service_terminal
device_000306,mobile
device_000307,tablet
device_000308,desktop
device_000309,mobile
device_000310,mobile
device_000311,desktop
device_000312,tablet
device_000313,desktop
device_000314,customer_service_terminal
device_000315,corporate_workstation
device_000316,tablet
device_000317,corporate_workstation
device_000318,tablet
device_000319,mobile
device_000320,corporate_workstation
device_000321,customer_service_terminal
device_000322,tablet
device_000323,corporate_workstation
device_000324,corporate_workstation
device_000325,customer_service_terminal
device_000326,tablet
device_000327,customer_service_terminal
device_000328,desktop
device_000329,mobile
device_000330,customer_service_terminal
device_000331,desktop
device_000332,customer_service_terminal
device_000333,customer_service_terminal
device_000334,tablet
device_000335,customer_service_terminal
device_000336,customer_service_terminal
device_000337,corporate_workstation
device_000338,customer_service_terminal
device_000339,mobile
device_000340,corporate_workstation
device_000341,customer_service_terminal
device_000342,customer_service_terminal
device_000343,tablet
device_000344,mobile
device_000345,customer_service_terminal
device_000346,customer_service_terminal
device_000347,corporate_workstation
device_000348,corporate_workstation
device_000349,mobile
device_000350,corporate_workstation
device_000351,customer_service_terminal
device_000352,desktop
device_000353,desktop
device_000354,tablet
device_000355,tablet
device_000356,corporate_workstation
device_000357,desktop
device_000358,desktop
device_000359,desktop
device_000360,desktop
device_000361,customer_service_terminal
device_000362,corporate_workstation
device_000363,tablet
device_000364,mobile
device_000365,desktop
device_000366,mobile
device_000367,desktop
device_000368,customer_service_terminal
