employee_id,role
emp_000001,risk_operations
emp_000002,customer_support
emp_000003,customer_support
emp_000004,customer_support
emp_000005,payments_operations
emp_000006,risk_operations
emp_000007,engineering
emp_000008,customer_support
emp_000009,fraud_analyst
emp_000010,customer_support
emp_000011,customer_support
emp_000012,fraud_analyst
emp_000013,customer_support
emp_000014,customer_support
emp_000015,risk_operations
emp_000016,fraud_analyst
emp_000017,customer_support
emp_000018,risk_operations
emp_000019,merchant_support
emp_000020,customer_support
emp_000021,merchant_support
emp_000022,risk_operations
emp_000023,customer_support
emp_000024,customer_support
emp_000025,finance
emp_000026,customer_support
emp_000027,customer_support
emp_000028,customer_support
emp_000029,merchant_support
emp_000030,risk_operations
emp_000031,merchant_support
emp_000032,payments_operations
emp_000033,fraud_analyst
emp_000034,finance
emp_000035,customer_support
emp_000036,risk_operations
emp_000037,merchant_support
emp_000038,risk_operations
emp_000039,engineering
emp_000040,risk_operations
emp_000041,payments_operations
emp_000042,customer_support
emp_000043,customer_support
emp_000044,customer_support
emp_000045,customer_support
emp_000046,customer_support
emp_000047,customer_support
emp_000048,customer_support
emp_000049,risk_operations
emp_000050,customer_support
emp_000051,customer_support
emp_000052,customer_support
emp_000053,customer_support
emp_000054,engineering
emp_000055,risk_operations
emp_000056,risk_operations
emp_000057,customer_support
emp_000058,payments_operations
emp_000059,customer_support
emp_000060,customer_support
emp_000061,compliance
emp_000062,risk_operations
emp_000063,risk_operations
emp_000064,risk_operations
emp_000065,merchant_support
emp_000066,payments_operations
emp_000067,customer_support
emp_000068,customer_support
emp_000069,customer_support
emp_000070,customer_support
emp_000071,customer_support
emp_000072,engineering
emp_000073,engineering
emp_000074,customer_support
emp_000075,risk_operations
emp_000076,customer_support
emp_000077,engineering
emp_000078,fraud_analyst
emp_000079,customer_support
emp_000080,customer_support
emp_000081,risk_operations
emp_000082,customer_support
emp_000083,risk_operations
emp_000084,engineering
emp_000085,customer_support
emp_000086,customer_support
emp_000087,administrator
emp_000088,fraud_analyst
emp_000089,customer_support
emp_000090,customer_support
emp_000091,customer_support
emp_000092,risk_operations
emp_000093,payments_operations
emp_000094,fraud_analyst
emp_000095,customer_support
emp_000096,customer_support
emp_000097,administrator
emp_000098,fraud_analyst
emp_000099,finance
emp_000100,engineering
emp_000101,customer_support
emp_000102,payments_operations
emp_000103,risk_operations
emp_000104,fraud_analyst
emp_000105,customer_support
emp_000106,risk_operations
emp_000107,customer_support
emp_000108,fraud_analyst
emp_000109,fraud_analyst
emp_000110,finance
emp_000111,engineering
emp_000112,customer_support
emp_000113,fraud_analyst
emp_000114,customer_support
emp_000115,engineering
emp_000116,engineering
