ip_id,ip_type
ip_000001,datacenter_proxy
ip_000002,residential
ip_000003,datacenter_proxy
ip_000004,unknown
ip_000005,datacenter_proxy
ip_000006,mobile_carrier
ip_000007,datacenter_proxy
ip_000008,datacenter_proxy
ip_000009,residential
ip_000010,datacenter_proxy
ip_000011,residential
ip_000012,unknown
ip_000013,residential
ip_000014,corporate_nat
ip_000015,unknown
ip_000016,corporate_nat
ip_000017,corporate_nat
ip_000018,datacenter_proxy
ip_000019,residential
ip_000020,corporate_nat
ip_000021,unknown
ip_000022,residential
ip_000023,corporate_nat
ip_000024,corporate_nat
ip_000025,datacenter_proxy
ip_000026,datacenter_proxy
ip_000027,mobile_carrier
ip_000028,mobile_carrier
ip_000029,unknown
ip_000030,unknown
ip_000031,unknown
ip_000032,mobile_carrier
ip_000033,residential
ip_000034,corporate_nat
ip_000035,corporate_nat
ip_000036,datacenter_proxy
ip_000037,datacenter_proxy
ip_000038,unknown
ip_000039,datacenter_proxy
ip_000040,residential
ip_000041,mobile_carrier
ip_000042,unknown
ip_000043,residential
ip_000044,datacenter_proxy
ip_000045,unknown
ip_000046,residential
ip_000047,residential
ip_000048,datacenter_proxy
ip_000049,mobile_carrier
ip_000050,residential
ip_000051,residential
ip_000052,datacenter_proxy
ip_000053,mobile_carrier
ip_000054,residential
ip_000055,datacenter_proxy
ip_000056,residential
ip_000057,datacenter_proxy
ip_000058,unknown
ip_000059,corporate_nat
ip_000060,unknown
ip_000061,mobile_carrier
ip_000062,datacenter_proxy
ip_000063,unknown
ip_000064,mobile_carrier
ip_000065,unknown
ip_000066,corporate_nat
ip_000067,residential
ip_000068,corporate_nat
ip_000069,mobile_carrier
ip_000070,unknown
ip_000071,mobile_carrier
ip_000072,datacenter_proxy
ip_000073,corporate_nat
ip_000074,datacenter_proxy
ip_000075,mobile_carrier
ip_000076,mobile_carrier
ip_000077,residential
ip_000078,mobile_carrier
ip_000079,mobile_carrier
ip_000080,unknown
ip_000081,corporate_nat
ip_000082,datacenter_proxy
ip_000083,corporate_nat
ip_000084,unknown
ip_000085,residential
ip_000086,unknown
ip_000087,residential
ip_000088,corporate_nat
ip_000089,residential
ip_000090,datacenter_proxy
ip_000091,unknown
ip_000092,unknown
ip_000093,corporate_nat
ip_000094,datacenter_proxy
ip_000095,mobile_carrier
ip_000096,corporate_nat
ip_000097,residential
ip_000098,datacenter_proxy
ip_000099,datacenter_proxy
ip_000100,unknown
ip_000101,mobile_carrier
ip_000102,unknown
ip_000103,unknown
ip_000104,mobile_carrier
ip_000105,mobile_carrier
ip_000106,mobile_carrier
ip_000107,residential
ip_000108,unknown
ip_000109,unknown
ip_000110,unknown
ip_000111,mobile_carrier
ip_000112,unknown
ip_000113,corporate_nat
ip_000114,residential
ip_000115,corporate_nat
ip_000116,corporate_nat
ip_000117,residential
ip_000118,datacenter_proxy
ip_000119,mobile_carrier
ip_000120,datacenter_proxy
