merchant_id,category
merchant_000001,utilities
merchant_000002,marketplace
merchant_000003,digital_goods
merchant_000004,marketplace
merchant_000005,electronics
merchant_000006,electronics
merchant_000007,travel
merchant_000008,grocery
merchant_000009,subscription
merchant_000010,subscription
merchant_000011,digital_goods
merchant_000012,grocery
merchant_000013,marketplace
merchant_000014,digital_goods
merchant_000015,utilities
merchant_000016,utilities
merchant_000017,utilities
merchant_000018,digital_goods
merchant_000019,gaming
merchant_000020,travel
merchant_000021,subscription
merchant_000022,digital_goods
merchant_000023,gaming
merchant_000024,subscription
merchant_000025,fashion
merchant_000026,subscription
merchant_000027,restaurant
merchant_000028,marketplace
merchant_000029,gaming
merchant_000030,travel
merchant_000031,fashion
merchant_000032,fashion
merchant_000033,gaming
merchant_000034,utilities
merchant_000035,subscription
merchant_000036,restaurant
merchant_000037,restaurant
merchant_000038,subscription
merchant_000039,gaming
merchant_000040,fashion
merchant_000041,marketplace
merchant_000042,grocery
merchant_000043,subscription
merchant_000044,grocery
merchant_000045,travel
merchant_000046,restaurant
merchant_000047,restaurant
merchant_000048,travel
merchant_000049,electronics
merchant_000050,restaurant
merchant_000051,digital_goods
merchant_000052,subscription
merchant_000053,electronics
merchant_000054,utilities
merchant_000055,travel
merchant_000056,marketplace
merchant_000057,grocery
merchant_000058,marketplace
merchant_000059,marketplace
merchant_000060,subscription
merchant_000061,travel
merchant_000062,utilities
merchant_000063,restaurant
merchant_000064,digital_goods
merchant_000065,digital_goods
merchant_000066,travel
merchant_000067,gaming
merchant_000068,gaming
merchant_000069,fashion
merchant_000070,subscription
merchant_000071,restaurant
merchant_000072,travel
merchant_000073,utilities
merchant_000074,fashion
merchant_000075,restaurant
merchant_000076,restaurant
merchant_000077,digital_goods
merchant_000078,subscription
merchant_000079,fashion
merchant_000080,fashion
merchant_000081,digital_goods
merchant_000082,gaming
merchant_000083,digital_goods
merchant_000084,electronics
merchant_000085,travel
merchant_000086,fashion
merchant_000087,utilities
merchant_000088,restaurant
merchant_000089,travel
merchant_000090,fashion
merchant_000091,restaurant
merchant_000092,restaurant
merchant_000093,gaming
merchant_000094,restaurant
merchant_000095,fashion
merchant_000096,utilities
merchant_000097,digital_goods
merchant_000098,electronics
merchant_000099,grocery
merchant_000100,gaming
merchant_000101,grocery
merchant_000102,restaurant
merchant_000103,utilities
merchant_000104,travel
merchant_000105,digital_goods
merchant_000106,utilities
merchant_000107,digital_goods
merchant_000108,utilities
merchant_000109,marketplace
merchant_000110,travel
merchant_000111,gaming
merchant_000112,electronics
merchant_000113,marketplace
merchant_000114,restaurant
merchant_000115,subscription
merchant_000116,electronics
merchant_000117,fashion
merchant_000118,grocery
merchant_000119,travel
merchant_000120,grocery
merchant_000121,gaming
merchant_000122,grocery
merchant_000123,gaming
merchant_000124,electronics
merchant_000125,grocery
merchant_000126,restaurant
merchant_000127,electronics
merchant_000128,digital_goods
merchant_000129,electronics
merchant_000130,travel
merchant_000131,digital_goods
merchant_000132,gaming
merchant_000133,subscription
merchant_000134,subscription
merchant_000135,restaurant
merchant_000136,grocery
merchant_000137,travel
merchant_000138,utilities
merchant_000139,marketplace
merchant_000140,restaurant
merchant_000141,fashion
merchant_000142,electronics
merchant_000143,gaming
merchant_000144,digital_goods
merchant_000145,utilities
