session_id,account_id,device_id,ip_id,started_at,ended_at
session_000001,acct_000816,device_000192,ip_007809,2025-12-31T00:10:07,2025-12-31T00:11:04
session_000002,acct_000745,device_001187,ip_007218,2025-07-20T05:49:24,2025-07-20T05:50:12
session_000003,acct_000844,device_001187,ip_007218,2025-07-20T05:50:26,2025-07-20T05:50:34
session_000004,acct_000768,device_001187,ip_007218,2025-07-20T05:49:50,2025-07-20T05:50:06
session_000005,acct_000802,device_001187,ip_007218,2025-07-20T05:51:34,2025-07-20T05:52:07
session_000006,acct_000830,device_007385,ip_004670,2025-09-29T21:34:41,2025-09-29T21:35:06
session_000007,acct_000796,device_007385,ip_004670,2025-09-29T21:34:39,2025-09-29T21:35:28
session_000008,acct_000822,device_007385,ip_004670,2025-09-29T21:39:32,2025-09-29T21:39:43
session_000009,acct_000784,device_007385,ip_004670,2025-09-29T21:38:22,2025-09-29T21:38:50
session_000010,acct_000771,device_007385,ip_004670,2025-09-29T21:33:59,2025-09-29T21:34:44
session_000011,acct_000835,device_007385,ip_004670,2025-09-29T21:34:55,2025-09-29T21:35:53
session_000012,acct_000683,device_007385,ip_004670,2025-09-29T21:37:48,2025-09-29T21:38:42
session_000013,acct_000763,device_001309,ip_007401,2025-10-31T12:29:36,2025-10-31T12:30:03
session_000014,acct_000806,device_001309,ip_007401,2025-10-31T12:32:18,2025-10-31T12:33:04
session_000015,acct_000878,device_001309,ip_007401,2025-10-31T12:35:02,2025-10-31T12:35:21
session_000016,acct_000847,device_001309,ip_007401,2025-10-31T12:43:38,2025-10-31T12:44:29
session_000017,acct_000688,device_001309,ip_007401,2025-10-31T12:31:29,2025-10-31T12:32:04
session_000018,acct_000686,device_001309,ip_007401,2025-10-31T12:34:22,2025-10-31T12:35:22
session_000019,acct_000732,device_001309,ip_007401,2025-10-31T12:41:16,2025-10-31T12:41:42
session_000020,acct_000854,device_001309,ip_007401,2025-10-31T12:44:13,2025-10-31T12:44:37
session_000021,acct_000825,device_001309,ip_007401,2025-10-31T12:35:53,2025-10-31T12:36:37
session_000022,acct_000762,device_007693,ip_005156,2025-06-01T13:54:49,2025-06-01T13:55:06
session_000023,acct_000752,device_007693,ip_005156,2025-06-01T13:46:55,2025-06-01T13:47:28
session_000024,acct_000774,device_007693,ip_005156,2025-06-01T13:47:13,2025-06-01T13:48:12
session_000025,acct_000877,device_007693,ip_005156,2025-06-01T13:48:50,2025-06-01T13:49:42
session_000026,acct_000810,device_007693,ip_005156,2025-06-01T13:50:15,2025-06-01T13:50:38
session_000027,acct_000854,device_007693,ip_005156,2025-06-01T13:47:43,2025-06-01T13:48:34
session_000028,acct_000790,device_007693,ip_005156,2025-06-01T13:56:10,2025-06-01T13:57:10
session_000029,acct_000794,device_008014,ip_004578,2025-11-08T02:12:57,2025-11-08T02:13:34
session_000030,acct_000699,device_008014,ip_004578,2025-11-08T02:06:23,2025-11-08T02:06:46
session_000031,acct_000834,device_008014,ip_004578,2025-11-08T01:56:28,2025-11-08T01:56:46
session_000032,acct_000747,device_006029,ip_007936,2025-04-29T06:15:11,2025-04-29T06:16:05
session_000033,acct_000867,device_003349,ip_001679,2025-11-15T16:40:34,2025-11-15T16:41:13
session_000034,acct_000820,device_003349,ip_001679,2025-11-15T16:39:27,2025-11-15T16:40:20
session_000035,acct_000760,device_003349,ip_001679,2025-11-15T16:48:43,2025-11-15T16:49:38
session_000036,acct_000708,device_003349,ip_001679,2025-11-15T16:44:16,2025-11-15T16:44:58
session_000037,acct_000801,device_003349,ip_001679,2025-11-15T16:41:45,2025-11-15T16:42:36
session_000038,acct_000664,device_003349,ip_001679,2025-11-15T16:40:46,2025-11-15T16:41:15
session_000039,acct_000808,device_003349,ip_001679,2025-11-15T16:43:52,2025-11-15T16:44:40
session_000040,acct_000875,device_003349,ip_001679,2025-11-15T16:43:29,2025-11-15T16:43:34
session_000041,acct_000795,device_003349,ip_001679,2025-11-15T16:36:45,2025-11-15T16:37:10
session_000042,acct_000814,device_007312,ip_000132,2025-03-31T23:27:17,2025-03-31T23:27:54
session_000043,acct_000841,device_007312,ip_000132,2025-03-31T23:25:35,2025-03-31T23:25:43
session_000044,acct_000764,device_007312,ip_000132,2025-03-31T23:21:26,2025-03-31T23:21:39
session_000045,acct_000713,device_007312,ip_000132,2025-03-31T23:22:47,2025-03-31T23:22:57
session_000046,acct_000760,device_007312,ip_000132,2025-03-31T23:24:36,2025-03-31T23:25:09
