transaction_id,account_id,device_id,ip_id,payment_token_id,merchant_id,amount,currency,txn_type,event_timestamp,ingestion_timestamp
txn_034609,acct_001805,device_004948,ip_009034,token_016560,merchant_000870,28.56,USD,purchase,2025-01-01T00:00:25,2025-01-01T00:04:14
txn_054599,acct_013691,device_003465,ip_008997,token_020357,merchant_000242,24.64,USD,purchase,2025-01-01T00:00:50,2025-01-01T00:00:53
txn_047271,acct_005225,device_002731,ip_009360,token_018914,merchant_000018,12.11,USD,purchase,2025-01-01T00:10:46,2025-01-01T00:13:40
txn_021254,acct_001224,device_004157,ip_001941,token_006744,merchant_001084,15.78,USD,purchase,2025-01-01T00:16:54,2025-01-01T00:19:22
txn_005928,acct_021324,device_005971,ip_001619,token_015199,merchant_000273,9.09,USD,purchase,2025-01-01T00:21:17,2025-01-01T00:25:15
txn_005613,acct_007208,device_008152,ip_005406,token_022112,merchant_000278,32.79,USD,purchase,2025-01-01T00:29:32,2025-01-01T00:30:39
txn_055326,acct_005737,device_003113,ip_000973,token_019829,merchant_000951,133.61,USD,purchase,2025-01-01T00:31:55,2025-01-01T00:32:55
txn_022676,acct_019507,device_000572,ip_009565,token_021360,merchant_000023,8.99,USD,purchase,2025-01-01T00:34:50,2025-01-01T00:35:33
txn_080133,acct_000467,device_000132,ip_002906,token_013263,merchant_000949,39.74,USD,purchase,2025-01-01T00:35:17,2025-01-01T00:37:14
txn_039114,acct_002606,device_007905,ip_006010,token_015662,merchant_000817,4.79,USD,purchase,2025-01-01T00:37:08,2025-01-01T00:40:37
txn_045624,acct_010344,device_007661,ip_008383,token_002465,merchant_001130,26.94,USD,purchase,2025-01-01T00:44:08,2025-01-01T00:44:31
txn_021359,acct_011436,device_003893,ip_003874,token_007145,merchant_000253,88.83,USD,purchase,2025-01-01T00:45:23,2025-01-01T00:46:02
txn_057793,acct_008051,device_006047,ip_006281,token_016955,merchant_000470,35.46,USD,purchase,2025-01-01T00:54:48,2025-01-01T00:54:52
txn_031257,acct_015322,device_003015,ip_000532,token_003564,merchant_000255,71.83,USD,purchase,2025-01-01T00:56:52,2025-01-01T00:58:51
txn_022067,acct_017224,device_010676,ip_008108,token_017062,merchant_000197,3.59,USD,purchase,2025-01-01T01:05:09,2025-01-01T01:07:22
txn_004786,acct_017753,device_006670,ip_001206,token_009203,merchant_001098,30.82,USD,purchase,2025-01-01T01:06:08,2025-01-01T01:08:42
txn_042101,acct_017229,device_010196,ip_006477,token_014967,merchant_000102,209.11,USD,purchase,2025-01-01T01:08:39,2025-01-01T01:11:56
