account_id,merchant_id,edge_timestamp
acct_000615,merchant_000061,2025-04-04T13:59:10
acct_001086,merchant_000033,2025-03-20T23:14:08
acct_000081,merchant_000072,2025-03-26T06:44:26
acct_000241,merchant_000078,2025-10-01T07:35:55
acct_001019,merchant_000041,2025-12-22T02:10:40
acct_000856,merchant_000043,2025-03-31T07:55:44
acct_001005,merchant_000022,2025-02-24T08:30:28
acct_000153,merchant_000053,2025-02-23T09:30:50
acct_000990,merchant_000069,2025-08-03T05:41:26
acct_000882,merchant_000068,2025-02-27T19:49:30
acct_000941,merchant_000039,2025-09-23T15:43:48
acct_000889,merchant_000068,2025-12-23T23:07:10
acct_000033,merchant_000051,2025-12-27T17:44:31
acct_000110,merchant_000010,2025-05-13T06:33:16
acct_000923,merchant_000071,2025-05-26T19:13:59
acct_000169,merchant_000020,2025-10-15T06:05:13
acct_000272,merchant_000058,2025-08-05T07:28:36
acct_000789,merchant_000050,2025-10-30T14:22:56
acct_000343,merchant_000039,2025-07-08T01:21:46
acct_000014,merchant_000043,2025-06-20T23:10:30
acct_000412,merchant_000051,2025-05-04T22:34:43
acct_000805,merchant_000026,2025-08-18T23:57:21
acct_000518,merchant_000049,2025-01-29T17:24:18
acct_000737,merchant_000014,2025-10-26T15:10:16
acct_000882,merchant_000034,2025-03-28T05:12:00
acct_001025,merchant_000062,2025-02-10T14:28:14
acct_000927,merchant_000006,2025-11-11T15:28:48
acct_000874,merchant_000024,2025-03-14T09:15:07
acct_000440,merchant_000074,2025-02-09T12:23:52
acct_001081,merchant_000079,2025-06-02T10:46:31
acct_000275,merchant_000040,2025-02-15T10:02:34
acct_000997,merchant_000072,2025-03-06T19:17:57
acct_000993,merchant_000072,2025-07-16T07:01:25
acct_000452,merchant_000029,2025-07-28T18:52:31
acct_001113,merchant_000057,2025-08-01T04:22:53
acct_000241,merchant_000045,2025-12-01T09:33:19
acct_001091,merchant_000022,2025-05-06T16:40:13
acct_000843,merchant_000017,2025-04-07T23:09:38
acct_000551,merchant_000010,2025-09-04T01:50:19
acct_000006,merchant_000046,2025-11-27T03:33:52
acct_000692,merchant_000073,2025-11-28T01:09:15
acct_000034,merchant_000057,2025-06-27T07:03:26
acct_000192,merchant_000048,2025-09-16T01:40:15
acct_000195,merchant_000010,2025-02-21T12:51:06
acct_000865,merchant_000030,2025-05-29T18:28:13
acct_000337,merchant_000020,2025-12-24T06:02:04
acct_000787,merchant_000041,2025-11-04T05:22:08
acct_000618,merchant_000025,2025-10-18T10:24:28
acct_000146,merchant_000047,2025-12-29T16:48:22
acct_000150,merchant_000002,2025-04-12T19:44:38
acct_001099,merchant_000036,2025-02-02T11:10:52
acct_000136,merchant_000031,2025-01-23T11:43:21
acct_000024,merchant_000067,2025-07-20T20:51:58
acct_001047,merchant_000073,2025-03-06T19:26:50
acct_000091,merchant_000061,2025-05-22T08:30:24
acct_000656,merchant_000074,2025-05-25T18:49:26
acct_000953,merchant_000042,2025-02-03T13:10:17
acct_001011,merchant_000032,2025-02-28T11:22:49
acct_000488,merchant_000019,2025-10-04T09:04:54
acct_000174,merchant_000051,2025-01-30T01:28:14
acct_000805,merchant_000035,2025-04-01T17:24:52
acct_000644,merchant_000046,2025-10-27T04:03:32
acct_000083,merchant_000019,2025-02-05T10:09:57
acct_000512,merchant_000018,2025-02-17T04:01:35
acct_000133,merchant_000017,2025-02-05T17:18:10
acct_000061,merchant_000023,2025-05-18T10:59:24
acct_000605,merchant_000062,2025-01-24T16:21:58
acct_000040,merchant_000062,2025-07-31T11:16:25
acct_000449,merchant_000008,2025-11-11T01:12:01
acct_000796,merchant_000023,2025-04-02T20:48:58
acct_000292,merchant_000064,2025-07-30T12:58:03
acct_000680,merchant_000044,2025-10-06T10:20:35
acct_000811,merchant_000042,2025-02-22T23:49:18
acct_000360,merchant_000017,2025-03-11T00:21:40
acct_000453,merchant_000019,2025-05-09T14:42:48
acct_000512,merchant_000014,2025-10-07T18:44:28
acct_000769,merchant_000074,2025-09-10T19:28:33
acct_000215,merchant_000049,2025-03-04T11:44:18
acct_000338,merchant_000013,2025-05-09T14:01:30
acct_000197,merchant_000071,2025-11-23T04:00:40
acct_000632,merchant_000034,2025-02-05T09:27:26
acct_000953,merchant_000073,2025-01-24T22:31:14
acct_000125,merchant_000054,2025-07-27T23:21:21
acct_000355,merchant_000017,2025-01-17T13:46:05
acct_000668,merchant_000002,2025-11-02T11:10:59
acct_000206,merchant_000037,2025-12-03T21:27:19
acct_000353,merchant_000080,2025-08-25T09:04:41
acct_000551,merchant_000039,2025-05-01T18:15:27
acct_000658,merchant_000078,2025-09-08T17:00:25
acct_000326,merchant_000052,2025-02-22T16:20:52
acct_000935,merchant_000026,2025-04-17T09:39:19
acct_000914,merchant_000076,2025-08-03T02:48:09
acct_000334,merchant_000029,2025-09-21T04:34:39
acct_000355,merchant_000078,2025-11-09T15:56:28
acct_001067,merchant_000001,2025-07-18T15:39:12
acct_000567,merchant_000034,2025-09-12T19:28:40
acct_000053,merchant_000054,2025-06-07T03:08:06
acct_001095,merchant_000065,2025-04-27T14:01:06
acct_000183,merchant_000040,2025-06-13T07:05:18
acct_000146,merchant_000065,2025-02-16T12:45:55
acct_000938,merchant_000011,2025-07-09T08:34:58
acct_000181,merchant_000055,2025-06-06T15:53:59
acct_001088,merchant_000032,2025-03-29T20:56:57
acct_000611,merchant_000077,2025-07-23T13:07:49
acct_000827,merchant_000017,2025-03-24T00:26:08
acct_001096,merchant_000014,2025-09-11T19:41:30
acct_000020,merchant_000067,2025-04-15T20:22:09
acct_001020,merchant_000034,2025-11-19T22:07:50
acct_000985,merchant_000002,2025-09-18T20:04:28
acct_000936,merchant_000007,2025-02-08T18:17:11
acct_000020,merchant_000043,2025-05-19T20:23:48
acct_000557,merchant_000054,2025-09-09T23:41:15
acct_000989,merchant_000024,2025-08-26T09:56:41
acct_000843,merchant_000034,2025-09-12T08:47:46
acct_000693,merchant_000056,2025-09-14T23:36:52
acct_000112,merchant_000065,2025-11-26T15:48:51
acct_000104,merchant_000049,2025-06-06T14:48:50
acct_000037,merchant_000005,2025-08-05T08:50:14
acct_000935,merchant_000029,2025-11-24T21:36:32
acct_000455,merchant_000038,2025-08-01T16:50:46
acct_000839,merchant_000025,2025-02-16T21:25:56
acct_000253,merchant_000065,2025-02-22T06:53:54
acct_000263,merchant_000065,2025-12-09T07:09:19
acct_000643,merchant_000026,2025-03-23T10:39:50
acct_000661,merchant_000072,2025-07-06T13:22:19
acct_000027,merchant_000049,2025-02-26T10:32:35
acct_001109,merchant_000014,2025-08-28T06:33:01
acct_000782,merchant_000071,2025-01-21T21:28:22
acct_000403,merchant_000023,2025-09-23T02:50:30
acct_000523,merchant_000020,2025-01-16T12:16:23
acct_000734,merchant_000068,2025-03-27T10:11:40
acct_000437,merchant_000038,2025-03-26T20:03:27
acct_000500,merchant_000049,2025-12-22T17:06:32
acct_000768,merchant_000058,2025-07-09T01:20:55
acct_000437,merchant_000027,2025-07-28T20:13:57
acct_000180,merchant_000033,2025-08-05T17:43:18
acct_001096,merchant_000075,2025-01-18T16:14:52
acct_000897,merchant_000061,2025-03-02T17:02:25
acct_000765,merchant_000019,2025-02-17T20:38:05
acct_000705,merchant_000019,2025-03-04T12:12:12
acct_000945,merchant_000009,2025-04-08T08:34:40
acct_000397,merchant_000043,2025-08-28T08:43:40
acct_000642,merchant_000056,2025-04-18T10:50:34
acct_000998,merchant_000078,2025-02-01T20:03:00
acct_001039,merchant_000075,2025-06-07T08:07:36
acct_000804,merchant_000038,2025-02-21T23:51:49
acct_000340,merchant_000021,2025-03-11T13:45:14
acct_000475,merchant_000030,2025-01-17T15:00:12
acct_000540,merchant_000049,2025-09-11T20:41:43
acct_001058,merchant_000063,2025-11-04T20:06:10
acct_000576,merchant_000021,2025-05-21T16:09:45
acct_000432,merchant_000003,2025-04-05T15:10:18
acct_000341,merchant_000067,2025-06-07T11:07:36
acct_000966,merchant_000053,2025-08-22T08:13:21
acct_000929,merchant_000050,2025-02-21T08:18:58
acct_000080,merchant_000012,2025-07-07T06:48:40
acct_000089,merchant_000062,2025-11-03T15:11:29
acct_000477,merchant_000070,2025-06-08T16:51:48
acct_000873,merchant_000055,2025-08-08T07:06:29
acct_000367,merchant_000062,2025-04-09T13:22:44
acct_000332,merchant_000052,2025-11-02T06:48:25
acct_000187,merchant_000012,2025-01-25T21:16:23
acct_000118,merchant_000057,2025-01-05T03:49:41
acct_000475,merchant_000047,2025-04-03T22:02:00
acct_000141,merchant_000072,2025-12-22T08:30:06
acct_000010,merchant_000065,2025-02-11T08:19:31
acct_000513,merchant_000073,2025-07-07T19:45:26
acct_000784,merchant_000041,2025-06-10T04:05:19
acct_000701,merchant_000061,2025-05-02T21:30:22
acct_000496,merchant_000026,2025-11-21T06:12:33
acct_000014,merchant_000062,2025-05-25T03:48:08
