account_id,payment_token_id,edge_timestamp
acct_000615,token_001102,2025-04-04T13:59:10
acct_001086,token_000498,2025-03-20T23:14:08
acct_000081,token_001204,2025-03-26T06:44:26
acct_000241,token_000497,2025-10-01T07:35:55
acct_001019,token_000962,2025-12-22T02:10:40
acct_000856,token_000402,2025-03-31T07:55:44
acct_001005,token_000722,2025-02-24T08:30:28
acct_000153,token_000014,2025-02-23T09:30:50
acct_000990,token_000014,2025-08-03T05:41:26
acct_000882,token_000198,2025-02-27T19:49:30
acct_000941,token_000463,2025-09-23T15:43:48
acct_000889,token_000196,2025-12-23T23:07:10
acct_000033,token_000296,2025-12-27T17:44:31
acct_000110,token_000476,2025-05-13T06:33:16
acct_000923,token_000729,2025-05-26T19:13:59
acct_000169,token_000779,2025-10-15T06:05:13
acct_000272,token_000883,2025-08-05T07:28:36
acct_000789,token_000848,2025-10-30T14:22:56
acct_000343,token_000863,2025-07-08T01:21:46
acct_000014,token_000779,2025-06-20T23:10:30
acct_000412,token_000364,2025-05-04T22:34:43
acct_000805,token_001155,2025-08-18T23:57:21
acct_000518,token_000867,2025-01-29T17:24:18
acct_000737,token_000175,2025-10-26T15:10:16
acct_000882,token_000202,2025-03-28T05:12:00
acct_001025,token_000051,2025-02-10T14:28:14
acct_000927,token_000615,2025-11-11T15:28:48
acct_000874,token_000830,2025-03-14T09:15:07
acct_000440,token_000129,2025-02-09T12:23:52
acct_001081,token_000796,2025-06-02T10:46:31
acct_000275,token_000489,2025-02-15T10:02:34
acct_000997,token_000355,2025-03-06T19:17:57
acct_000993,token_000787,2025-07-16T07:01:25
acct_000452,token_000563,2025-07-28T18:52:31
acct_001113,token_000086,2025-08-01T04:22:53
acct_000241,token_001205,2025-12-01T09:33:19
acct_001091,token_001104,2025-05-06T16:40:13
acct_000843,token_000260,2025-04-07T23:09:38
acct_000551,token_000926,2025-09-04T01:50:19
acct_000006,token_000939,2025-11-27T03:33:52
acct_000692,token_000268,2025-11-28T01:09:15
acct_000034,token_000324,2025-06-27T07:03:26
acct_000192,token_000169,2025-09-16T01:40:15
acct_000195,token_000977,2025-02-21T12:51:06
acct_000865,token_000146,2025-05-29T18:28:13
acct_000337,token_000437,2025-12-24T06:02:04
acct_000787,token_000880,2025-11-04T05:22:08
acct_000618,token_001044,2025-10-18T10:24:28
acct_000146,token_000025,2025-12-29T16:48:22
acct_000150,token_000139,2025-04-12T19:44:38
acct_001099,token_000313,2025-02-02T11:10:52
acct_000136,token_000896,2025-01-23T11:43:21
acct_000024,token_000711,2025-07-20T20:51:58
acct_001047,token_001024,2025-03-06T19:26:50
acct_000091,token_000095,2025-05-22T08:30:24
acct_000656,token_000160,2025-05-25T18:49:26
acct_000953,token_000637,2025-02-03T13:10:17
acct_001011,token_001120,2025-02-28T11:22:49
acct_000488,token_000123,2025-10-04T09:04:54
acct_000174,token_000274,2025-01-30T01:28:14
acct_000805,token_000928,2025-04-01T17:24:52
acct_000644,token_001098,2025-10-27T04:03:32
acct_000083,token_000672,2025-02-05T10:09:57
acct_000512,token_000209,2025-02-17T04:01:35
acct_000133,token_000909,2025-02-05T17:18:10
acct_000061,token_000874,2025-05-18T10:59:24
acct_000605,token_001128,2025-01-24T16:21:58
acct_000040,token_000736,2025-07-31T11:16:25
acct_000449,token_000576,2025-11-11T01:12:01
acct_000796,token_000356,2025-04-02T20:48:58
acct_000292,token_000386,2025-07-30T12:58:03
acct_000680,token_000268,2025-10-06T10:20:35
acct_000811,token_000619,2025-02-22T23:49:18
acct_000360,token_000604,2025-03-11T00:21:40
acct_000453,token_001017,2025-05-09T14:42:48
acct_000512,token_000526,2025-10-07T18:44:28
acct_000769,token_000982,2025-09-10T19:28:33
acct_000215,token_000349,2025-03-04T11:44:18
acct_000338,token_000110,2025-05-09T14:01:30
acct_000197,token_001171,2025-11-23T04:00:40
acct_000632,token_001002,2025-02-05T09:27:26
