case_id,account_id,edge_timestamp
case_000001,acct_000773,2025-11-21T15:44:50
case_000002,acct_000712,2025-11-03T14:38:58
case_000003,acct_000402,2025-08-25T14:02:46
case_000004,acct_000145,2025-05-01T12:36:15
case_000005,acct_001096,2025-09-15T15:52:21
case_000006,acct_000031,2025-07-28T14:09:05
case_000007,acct_000203,2025-11-24T16:43:35
case_000008,acct_000324,2025-12-03T14:21:49
case_000009,acct_000423,2025-09-22T12:31:52
case_000010,acct_000963,2025-03-07T12:43:42
case_000011,acct_000460,2025-11-17T16:19:57
case_000012,acct_000278,2025-03-05T10:45:28
case_000013,acct_000324,2025-07-14T12:27:23
case_000014,acct_000249,2025-08-22T11:17:00
case_000015,acct_000423,2025-02-12T12:09:54
case_000016,acct_000928,2025-02-10T10:29:07
case_000017,acct_000145,2025-02-10T17:55:38
case_000018,acct_000380,2025-02-23T18:41:25
case_000019,acct_000908,2025-11-21T10:30:15
case_000020,acct_000963,2025-06-26T14:19:20
case_000021,acct_000712,2025-10-28T10:26:50
case_000022,acct_000249,2025-04-10T09:44:12
case_000023,acct_000269,2025-01-10T09:28:59
case_000024,acct_000203,2025-02-02T10:26:23
case_000025,acct_001096,2025-11-11T15:54:51
case_000026,acct_000945,2025-05-16T10:19:50
case_000027,acct_001047,2025-10-27T14:13:22
case_000028,acct_000770,2025-02-10T13:02:56
case_000029,acct_000249,2025-07-07T12:09:58
case_000030,acct_000597,2025-08-08T13:48:15
case_000031,acct_000789,2025-03-24T14:03:59
case_000032,acct_000380,2025-07-21T18:14:08
case_000033,acct_000634,2025-12-22T18:10:45
case_000034,acct_000203,2025-01-14T15:11:55
case_000035,acct_001047,2025-07-07T16:36:05
case_000036,acct_000203,2025-09-09T18:51:05
case_000037,acct_000789,2025-03-04T12:46:13
case_000038,acct_000214,2025-12-31T17:54:29
case_000039,acct_001047,2025-12-22T13:06:17
case_000040,acct_000243,2025-03-26T17:42:39
case_000041,acct_000243,2025-03-24T10:25:12
case_000042,acct_000460,2025-11-26T16:56:14
case_000043,acct_000031,2025-03-23T12:28:55
case_000044,acct_000214,2025-06-24T13:06:18
case_000045,acct_000145,2025-06-27T18:00:17
case_000046,acct_000945,2025-05-20T13:04:00
case_000047,acct_000865,2025-12-22T14:13:11
case_000048,acct_000843,2025-04-29T13:46:23
case_000049,acct_000243,2025-12-01T16:30:20
case_000050,acct_001070,2025-12-09T16:01:58
case_000051,acct_000908,2025-12-29T11:11:01
case_000052,acct_000031,2025-11-10T13:35:59
case_000053,acct_001096,2025-03-03T17:55:48
case_000054,acct_000243,2025-03-10T09:55:35
case_000055,acct_000773,2025-01-03T18:32:32
case_000056,acct_000770,2025-04-01T10:00:41
case_000057,acct_000770,2025-12-15T18:05:13
case_000058,acct_000324,2025-10-27T14:05:01
case_000059,acct_000712,2025-08-26T18:50:36
case_000060,acct_000945,2025-03-28T15:50:02
case_000061,acct_001113,2025-09-01T09:14:30
case_000062,acct_000423,2025-07-14T17:20:09
case_000063,acct_000423,2025-10-06T14:05:49
case_000064,acct_000765,2025-10-21T18:39:45
case_000065,acct_000908,2025-08-15T10:23:37
case_000066,acct_000380,2025-09-01T14:39:43
case_000067,acct_000773,2025-05-23T17:44:13
case_000068,acct_000843,2025-12-05T15:40:31
case_000069,acct_000928,2025-11-03T14:51:31
case_000070,acct_000423,2025-01-23T16:05:38
case_000071,acct_000607,2025-06-23T15:25:34
case_000072,acct_001023,2025-01-03T11:09:47
case_000073,acct_000159,2025-06-05T13:41:37
case_000074,acct_000070,2025-08-04T09:56:30
case_000075,acct_000483,2025-10-31T04:37:38
case_000076,acct_000644,2025-12-12T16:23:17
case_000077,acct_000936,2025-06-18T07:48:52
case_000078,acct_000769,2025-05-14T09:57:33
case_000079,acct_000485,2025-09-11T14:56:09
case_000080,acct_000761,2025-01-28T12:31:40
case_000081,acct_000336,2025-09-05T19:31:10
case_000082,acct_000021,2025-02-01T19:13:44
case_000083,acct_000549,2025-01-30T17:37:15
case_000084,acct_000929,2025-04-11T06:39:20
case_000085,acct_000562,2025-10-30T10:04:03
case_000086,acct_001104,2025-11-29T09:01:03
case_000087,acct_000089,2025-07-20T22:30:42
case_000088,acct_000336,2025-03-11T07:24:14
case_000089,acct_000222,2025-11-04T22:51:59
case_000090,acct_000004,2025-09-29T11:13:16
case_000091,acct_000483,2025-12-28T23:15:04
case_000092,acct_000494,2025-04-28T12:10:59
case_000093,acct_000096,2025-08-10T04:50:33
case_000094,acct_000005,2025-06-23T12:00:05
case_000094,acct_000007,2025-06-23T12:00:05
case_000094,acct_000008,2025-06-23T12:00:05
case_000094,acct_000009,2025-06-23T12:00:05
case_000095,acct_000006,2025-03-24T16:46:30
case_000095,acct_000010,2025-03-24T16:46:30
case_000096,acct_000007,2025-08-18T18:01:13
case_000096,acct_000011,2025-08-18T18:01:13
case_000097,acct_000032,2025-09-08T18:42:05
case_000097,acct_000028,2025-09-08T18:42:05
case_000097,acct_000017,2025-09-08T18:42:05
case_000097,acct_000019,2025-09-08T18:42:05
case_000097,acct_000760,2025-09-08T18:42:05
case_000098,acct_000033,2026-01-01T17:37:13
case_000098,acct_000016,2026-01-01T17:37:13
case_000098,acct_000030,2026-01-01T17:37:13
case_000098,acct_000017,2026-01-01T17:37:13
case_000098,acct_000019,2026-01-01T17:37:13
case_000099,acct_000022,2025-12-08T13:41:26
case_000099,acct_000020,2025-12-08T13:41:26
case_000099,acct_000019,2025-12-08T13:41:26
case_000099,acct_000021,2025-12-08T13:41:26
case_000099,acct_000252,2025-12-08T13:41:26
case_000100,acct_000017,2025-04-21T13:59:48
case_000100,acct_000014,2025-04-21T13:59:48
case_000100,acct_000025,2025-04-21T13:59:48
case_000100,acct_000018,2025-04-21T13:59:48
case_000100,acct_000020,2025-04-21T13:59:48
case_000100,acct_000028,2025-04-21T13:59:48
case_000101,acct_000024,2025-07-21T16:14:20
case_000101,acct_000023,2025-07-21T16:14:20
case_000101,acct_000022,2025-07-21T16:14:20
case_000101,acct_000027,2025-07-21T16:14:20
case_000101,acct_000599,2025-07-21T16:14:20
case_000102,acct_000100,2025-12-15T04:23:45
case_000102,acct_000101,2025-12-15T04:23:45
case_000102,acct_000074,2025-12-15T04:23:45
case_000102,acct_000078,2025-12-15T04:23:45
case_000102,acct_000095,2025-12-15T04:23:45
case_000102,acct_000073,2025-12-15T04:23:45
case_000102,acct_000081,2025-12-15T04:23:45
case_000102,acct_000076,2025-12-15T04:23:45
case_000102,acct_000079,2025-12-15T04:23:45
case_000102,acct_000088,2025-12-15T04:23:45
case_000103,acct_000072,2025-09-16T00:41:11
case_000103,acct_000081,2025-09-16T00:41:11
case_000103,acct_000092,2025-09-16T00:41:11
case_000103,acct_000098,2025-09-16T00:41:11
case_000103,acct_000075,2025-09-16T00:41:11
case_000103,acct_000086,2025-09-16T00:41:11
case_000104,acct_000098,2025-04-22T15:27:49
case_000104,acct_000084,2025-04-22T15:27:49
case_000104,acct_000074,2025-04-22T15:27:49
case_000104,acct_000085,2025-04-22T15:27:49
case_000104,acct_000089,2025-04-22T15:27:49
case_000104,acct_000094,2025-04-22T15:27:49
case_000104,acct_000102,2025-04-22T15:27:49
case_000104,acct_000097,2025-04-22T15:27:49
case_000105,acct_000085,2025-03-16T02:07:58
case_000105,acct_000082,2025-03-16T02:07:58
case_000105,acct_000095,2025-03-16T02:07:58
case_000105,acct_000080,2025-03-16T02:07:58
case_000105,acct_000078,2025-03-16T02:07:58
case_000105,acct_000103,2025-03-16T02:07:58
case_000105,acct_000093,2025-03-16T02:07:58
case_000105,acct_000091,2025-03-16T02:07:58
