consumer_id,account_id,edge_timestamp
consumer_000001,acct_000001,2025-11-29T19:54:02
consumer_000002,acct_000002,2025-08-20T03:27:43
consumer_000003,acct_000003,2025-07-14T19:21:58
consumer_000004,acct_000004,2025-01-18T19:56:58
consumer_000005,acct_000005,2025-02-23T18:08:25
consumer_000006,acct_000006,2025-08-05T08:46:41
consumer_000007,acct_000007,2025-04-28T17:38:26
consumer_000008,acct_000008,2025-04-19T03:49:47
consumer_000009,acct_000009,2025-01-01T17:57:17
consumer_000010,acct_000010,2025-12-29T11:35:38
consumer_000011,acct_000011,2025-12-25T12:10:33
consumer_000012,acct_000012,2025-03-01T15:59:12
consumer_000013,acct_000013,2025-06-25T01:09:35
consumer_000014,acct_000014,2025-07-20T23:45:35
consumer_000014,acct_000015,2025-03-19T17:40:17
consumer_000015,acct_000016,2025-06-13T01:44:08
consumer_000016,acct_000017,2025-09-26T20:02:52
consumer_000017,acct_000018,2025-02-21T05:11:45
consumer_000018,acct_000019,2025-09-13T22:31:26
consumer_000019,acct_000020,2025-05-28T00:12:32
consumer_000020,acct_000021,2025-08-03T10:42:08
consumer_000020,acct_000022,2025-12-19T11:45:53
consumer_000021,acct_000023,2025-10-06T16:31:39
consumer_000022,acct_000024,2025-12-19T16:58:37
consumer_000023,acct_000025,2025-04-18T03:47:59
consumer_000024,acct_000026,2025-08-28T23:41:57
consumer_000025,acct_000027,2025-12-15T06:50:48
consumer_000026,acct_000028,2025-04-25T23:38:47
consumer_000027,acct_000029,2025-02-12T06:01:06
consumer_000028,acct_000030,2025-09-23T21:24:45
consumer_000029,acct_000031,2025-12-06T23:06:36
consumer_000029,acct_000032,2025-09-21T12:16:19
consumer_000029,acct_000033,2025-12-09T09:46:16
consumer_000030,acct_000034,2025-04-24T21:57:17
consumer_000031,acct_000035,2025-11-10T15:38:23
consumer_000032,acct_000036,2025-06-27T18:58:10
consumer_000032,acct_000037,2025-08-21T19:25:57
consumer_000032,acct_000038,2025-01-22T10:47:11
consumer_000033,acct_000039,2025-04-13T12:25:01
consumer_000034,acct_000040,2025-04-22T04:56:13
consumer_000035,acct_000041,2025-06-26T23:22:35
consumer_000036,acct_000042,2025-05-07T17:03:46
consumer_000037,acct_000043,2025-02-01T19:47:12
consumer_000038,acct_000044,2025-05-15T10:57:05
consumer_000039,acct_000045,2025-04-02T01:06:34
consumer_000040,acct_000046,2025-12-14T20:21:56
consumer_000041,acct_000047,2025-07-10T12:16:30
consumer_000041,acct_000048,2025-09-03T19:48:41
consumer_000042,acct_000049,2025-08-24T04:32:18
consumer_000043,acct_000050,2025-03-06T18:06:36
consumer_000044,acct_000051,2025-06-05T15:42:17
consumer_000045,acct_000052,2025-12-14T04:14:12
consumer_000046,acct_000053,2025-09-05T18:36:46
consumer_000047,acct_000054,2025-01-07T22:47:46
consumer_000048,acct_000055,2025-11-21T20:45:44
consumer_000049,acct_000056,2025-10-22T22:22:30
consumer_000050,acct_000057,2025-06-17T11:55:16
consumer_000051,acct_000058,2025-01-09T04:20:28
consumer_000051,acct_000059,2025-12-14T22:20:21
consumer_000051,acct_000060,2025-07-29T15:55:13
consumer_000052,acct_000061,2025-10-27T03:29:01
consumer_000052,acct_000062,2025-11-07T11:33:31
consumer_000053,acct_000063,2025-12-02T14:07:48
consumer_000054,acct_000064,2025-02-20T03:55:38
consumer_000055,acct_000065,2025-04-07T18:01:57
consumer_000055,acct_000066,2025-09-23T10:17:21
consumer_000055,acct_000067,2025-07-21T00:09:15
consumer_000056,acct_000068,2025-02-26T21:58:30
consumer_000057,acct_000069,2025-01-05T10:03:26
consumer_000058,acct_000070,2025-09-23T06:01:40
consumer_000059,acct_000071,2025-01-07T07:44:34
consumer_000060,acct_000072,2025-01-06T08:31:55
consumer_000061,acct_000073,2025-09-22T20:04:49
consumer_000062,acct_000074,2025-09-05T04:28:23
consumer_000063,acct_000075,2025-03-08T21:51:25
consumer_000063,acct_000076,2025-08-19T17:10:28
consumer_000064,acct_000077,2025-07-03T12:50:20
consumer_000065,acct_000078,2025-07-28T06:59:53
consumer_000066,acct_000079,2025-01-04T07:48:48
consumer_000067,acct_000080,2025-06-13T14:17:24
consumer_000068,acct_000081,2025-09-05T17:19:27
consumer_000069,acct_000082,2025-07-07T01:58:38
consumer_000070,acct_000083,2025-10-11T19:03:59
consumer_000071,acct_000084,2025-11-04T16:27:51
consumer_000072,acct_000085,2025-08-03T11:30:47
consumer_000072,acct_000086,2025-02-23T22:49:36
consumer_000073,acct_000087,2025-09-01T01:29:38
consumer_000074,acct_000088,2025-04-15T02:50:25
consumer_000075,acct_000089,2025-06-13T20:42:23
consumer_000076,acct_000090,2025-05-02T23:16:27
consumer_000077,acct_000091,2025-09-03T06:15:30
consumer_000077,acct_000092,2025-05-02T18:10:22
consumer_000077,acct_000093,2025-03-20T15:43:21
consumer_000078,acct_000094,2025-01-02T20:25:35
consumer_000079,acct_000095,2025-08-25T18:03:41
