employee_id,device_id,edge_timestamp
emp_000013,device_000238,2025-04-25T14:39:09
emp_000008,device_000557,2025-08-29T11:12:17
emp_000001,device_000452,2025-07-10T14:34:46
emp_000035,device_000253,2025-08-04T12:52:59
emp_000008,device_000389,2025-05-20T12:34:29
emp_000004,device_000052,2025-02-03T11:54:57
emp_000008,device_000506,2025-12-23T17:48:32
emp_000040,device_000361,2025-12-30T23:39:09
emp_000025,device_000403,2025-10-27T16:13:14
emp_000026,device_000234,2025-08-05T13:35:07
emp_000018,device_000041,2025-08-19T02:01:48
emp_000001,device_000042,2025-01-30T10:52:06
emp_000001,device_000150,2025-04-03T13:53:17
emp_000016,device_000228,2025-05-16T18:52:46
emp_000021,device_000402,2025-09-22T17:07:41
emp_000038,device_000290,2025-06-19T14:04:28
emp_000039,device_000207,2025-05-26T12:25:37
emp_000036,device_000536,2025-04-21T18:45:16
emp_000035,device_000118,2025-01-15T13:39:17
emp_000004,device_000021,2025-11-08T09:00:26
emp_000038,device_000238,2025-02-17T18:34:44
emp_000014,device_000567,2025-04-08T10:25:30
emp_000038,device_000234,2025-05-28T09:48:58
emp_000016,device_000022,2025-01-02T14:36:52
emp_000037,device_000013,2025-12-02T15:17:01
emp_000034,device_000030,2025-07-14T09:36:06
emp_000029,device_000221,2025-07-09T10:01:51
emp_000021,device_000088,2025-01-14T17:24:21
emp_000014,device_000288,2025-05-29T18:17:22
emp_000023,device_000310,2025-04-11T18:12:05
emp_000034,device_000524,2025-08-11T15:46:45
emp_000022,device_000532,2025-05-06T13:58:29
emp_000033,device_000477,2025-07-30T23:00:30
emp_000036,device_000421,2025-05-05T10:38:29
emp_000003,device_000490,2025-04-22T09:31:40
emp_000034,device_000266,2025-08-05T11:15:45
emp_000012,device_000198,2025-10-06T10:05:41
emp_000040,device_000058,2025-08-14T05:26:06
emp_000024,device_000316,2025-01-16T16:32:55
emp_000018,device_000066,2025-08-28T04:50:44
emp_000002,device_000154,2025-12-04T11:51:22
emp_000039,device_000529,2025-07-30T14:31:05
emp_000012,device_000154,2025-06-29T02:51:28
emp_000037,device_000481,2025-06-30T10:38:25
emp_000005,device_000332,2025-11-12T09:54:04
emp_000017,device_000417,2025-10-28T09:21:19
emp_000020,device_000513,2025-10-20T15:10:41
