label_id,entity_type,entity_id,ground_truth,label_timestamp,label_source,label_confidence
label_000001,TRANSACTION,txn_000001,LEGITIMATE,2025-04-04T14:59:10,automated_baseline,0.93
label_000002,TRANSACTION,txn_000002,LEGITIMATE,2025-03-20T23:26:08,automated_baseline,0.86
label_000003,TRANSACTION,txn_000003,LEGITIMATE,2025-03-26T06:46:26,automated_baseline,0.98
label_000004,TRANSACTION,txn_000004,LEGITIMATE,2025-10-01T08:59:55,fraud_analyst_review,0.89
label_000005,TRANSACTION,txn_000005,LEGITIMATE,2025-12-22T02:39:40,automated_baseline,0.85
label_000006,TRANSACTION,txn_000006,LEGITIMATE,2025-03-31T09:23:44,fraud_analyst_review,0.89
label_000007,TRANSACTION,txn_000007,LEGITIMATE,2025-02-24T09:53:28,automated_baseline,0.92
label_000008,TRANSACTION,txn_000008,LEGITIMATE,2025-02-23T09:58:50,fraud_analyst_review,0.9
label_000009,TRANSACTION,txn_000009,LEGITIMATE,2025-08-03T06:18:26,automated_baseline,0.92
label_000010,TRANSACTION,txn_000010,LEGITIMATE,2025-02-27T20:24:30,fraud_analyst_review,0.86
label_000011,TRANSACTION,txn_000011,LEGITIMATE,2025-09-23T15:51:48,automated_baseline,0.95
label_000012,TRANSACTION,txn_000012,LEGITIMATE,2025-12-23T23:43:10,automated_baseline,0.88
label_000013,TRANSACTION,txn_000013,LEGITIMATE,2025-12-27T18:02:31,automated_baseline,0.92
label_000014,TRANSACTION,txn_000014,LEGITIMATE,2025-05-13T07:15:16,automated_baseline,0.94
label_000015,TRANSACTION,txn_000015,LEGITIMATE,2025-05-26T20:33:59,fraud_analyst_review,0.96
label_000016,TRANSACTION,txn_000016,LEGITIMATE,2025-10-15T06:45:13,fraud_analyst_review,0.9
label_000017,TRANSACTION,txn_000017,LEGITIMATE,2025-08-05T08:39:36,automated_baseline,0.93
label_000018,TRANSACTION,txn_000018,LEGITIMATE,2025-10-30T14:57:56,fraud_analyst_review,0.89
label_000019,TRANSACTION,txn_000019,LEGITIMATE,2025-07-08T02:25:46,automated_baseline,0.91
label_000020,TRANSACTION,txn_000020,LEGITIMATE,2025-06-21T00:27:30,automated_baseline,0.89
label_000021,TRANSACTION,txn_000021,LEGITIMATE,2025-05-08T22:34:43,fraud_analyst_review,0.9
label_000022,TRANSACTION,txn_000022,LEGITIMATE,2025-08-19T00:50:21,fraud_analyst_review,0.87
label_000023,TRANSACTION,txn_000023,LEGITIMATE,2025-01-29T18:29:18,fraud_analyst_review,0.93
label_000024,TRANSACTION,txn_000024,LEGITIMATE,2025-10-26T15:16:16,fraud_analyst_review,0.99
label_000025,TRANSACTION,txn_000025,LEGITIMATE,2025-03-28T05:41:00,fraud_analyst_review,0.9
label_000026,TRANSACTION,txn_000026,LEGITIMATE,2025-02-10T14:55:14,fraud_analyst_review,0.9
label_000027,TRANSACTION,txn_000027,LEGITIMATE,2025-11-11T16:00:48,automated_baseline,0.93
label_000028,TRANSACTION,txn_000028,LEGITIMATE,2025-03-14T09:41:07,fraud_analyst_review,0.93
label_000029,TRANSACTION,txn_000029,LEGITIMATE,2025-02-09T13:22:52,automated_baseline,0.89
label_000030,TRANSACTION,txn_000030,LEGITIMATE,2025-06-02T11:09:31,fraud_analyst_review,0.98
label_000031,TRANSACTION,txn_000031,LEGITIMATE,2025-02-15T11:19:34,automated_baseline,0.93
label_000032,TRANSACTION,txn_000032,LEGITIMATE,2025-03-06T20:37:57,automated_baseline,0.97
label_000033,TRANSACTION,txn_000033,LEGITIMATE,2025-07-16T07:58:25,fraud_analyst_review,0.87
label_000034,TRANSACTION,txn_000034,LEGITIMATE,2025-07-28T19:56:31,automated_baseline,0.93
label_000035,TRANSACTION,txn_000035,LEGITIMATE,2025-08-01T04:54:53,fraud_analyst_review,0.97
label_000036,TRANSACTION,txn_000036,LEGITIMATE,2025-08-02T14:34:53,fraud_analyst_review,0.97
label_000037,TRANSACTION,txn_000037,LEGITIMATE,2025-12-01T10:00:19,automated_baseline,0.96
label_000038,TRANSACTION,txn_000038,LEGITIMATE,2025-05-06T17:46:13,automated_baseline,0.87
label_000039,TRANSACTION,txn_000039,LEGITIMATE,2025-04-08T00:36:38,fraud_analyst_review,0.92
label_000040,TRANSACTION,txn_000040,LEGITIMATE,2025-09-04T02:26:19,fraud_analyst_review,0.91
label_000041,TRANSACTION,txn_000041,LEGITIMATE,2025-12-01T03:33:52,fraud_analyst_review,0.89
label_000042,TRANSACTION,txn_000042,LEGITIMATE,2025-11-28T01:15:15,automated_baseline,0.94
label_000043,TRANSACTION,txn_000043,LEGITIMATE,2025-06-27T07:42:26,automated_baseline,0.97
label_000044,TRANSACTION,txn_000044,LEGITIMATE,2025-09-16T03:10:15,automated_baseline,0.91
label_000045,TRANSACTION,txn_000045,LEGITIMATE,2025-02-21T14:21:06,fraud_analyst_review,0.96
label_000046,TRANSACTION,txn_000046,LEGITIMATE,2025-05-29T18:46:13,automated_baseline,0.86
label_000047,TRANSACTION,txn_000047,LEGITIMATE,2025-12-24T06:15:04,automated_baseline,0.96
label_000048,TRANSACTION,txn_000048,LEGITIMATE,2025-11-04T06:39:08,fraud_analyst_review,0.96
label_000049,TRANSACTION,txn_000049,LEGITIMATE,2025-10-18T10:55:28,fraud_analyst_review,0.9
label_000050,TRANSACTION,txn_000050,LEGITIMATE,2025-12-29T17:35:22,automated_baseline,0.96
label_000051,TRANSACTION,txn_000051,LEGITIMATE,2025-04-12T20:49:38,fraud_analyst_review,0.91
label_000052,TRANSACTION,txn_000052,LEGITIMATE,2025-02-05T11:10:52,fraud_analyst_review,0.9
label_000053,TRANSACTION,txn_000053,LEGITIMATE,2025-01-23T13:08:21,automated_baseline,0.87
label_000054,TRANSACTION,txn_000054,LEGITIMATE,2025-07-20T21:26:58,automated_baseline,0.96
label_000055,TRANSACTION,txn_000055,LEGITIMATE,2025-07-23T04:25:58,automated_baseline,0.92
label_000056,TRANSACTION,txn_000056,LEGITIMATE,2025-03-06T20:53:50,automated_baseline,0.88
label_000057,TRANSACTION,txn_000057,LEGITIMATE,2025-05-23T08:30:24,fraud_analyst_review,0.88
label_000058,TRANSACTION,txn_000058,LEGITIMATE,2025-05-25T19:56:26,automated_baseline,0.98
label_000059,TRANSACTION,txn_000059,LEGITIMATE,2025-02-03T13:49:17,automated_baseline,0.91
label_000060,TRANSACTION,txn_000060,LEGITIMATE,2025-02-28T12:44:49,automated_baseline,0.98
label_000061,TRANSACTION,txn_000061,LEGITIMATE,2025-03-02T13:02:49,automated_baseline,0.88
label_000062,TRANSACTION,txn_000062,LEGITIMATE,2025-10-04T10:11:54,fraud_analyst_review,0.95
label_000063,TRANSACTION,txn_000063,LEGITIMATE,2025-02-03T01:28:14,fraud_analyst_review,0.89
label_000064,TRANSACTION,txn_000064,LEGITIMATE,2025-04-01T17:38:52,automated_baseline,0.86
label_000065,TRANSACTION,txn_000065,LEGITIMATE,2025-10-27T04:15:32,automated_baseline,0.96
label_000066,TRANSACTION,txn_000066,LEGITIMATE,2025-02-05T10:32:57,automated_baseline,0.98
label_000067,TRANSACTION,txn_000067,LEGITIMATE,2025-02-19T04:01:35,fraud_analyst_review,0.98
label_000068,TRANSACTION,txn_000068,LEGITIMATE,2025-02-05T18:32:10,fraud_analyst_review,0.97
