device_id,device_type
device_000001,tablet
device_000002,mobile
device_000003,corporate_workstation
device_000004,desktop
device_000005,customer_service_terminal
device_000006,mobile
device_000007,customer_service_terminal
device_000008,customer_service_terminal
device_000009,customer_service_terminal
device_000010,corporate_workstation
device_000011,mobile
device_000012,tablet
device_000013,corporate_workstation
device_000014,tablet
device_000015,mobile
device_000016,corporate_workstation
device_000017,customer_service_terminal
device_000018,corporate_workstation
device_000019,corporate_workstation
device_000020,mobile
device_000021,customer_service_terminal
device_000022,customer_service_terminal
device_000023,desktop
device_000024,desktop
device_000025,tablet
device_000026,desktop
device_000027,mobile
device_000028,corporate_workstation
device_000029,customer_service_terminal
device_000030,corporate_workstation
device_000031,mobile
device_000032,corporate_workstation
device_000033,customer_service_terminal
device_000034,desktop
device_000035,tablet
device_000036,customer_service_terminal
device_000037,customer_service_terminal
device_000038,customer_service_terminal
device_000039,customer_service_terminal
device_000040,mobile
device_000041,customer_service_terminal
device_000042,corporate_workstation
device_000043,mobile
device_000044,desktop
device_000045,corporate_workstation
device_000046,corporate_workstation
device_000047,corporate_workstation
device_000048,corporate_workstation
device_000049,mobile
device_000050,desktop
device_000051,desktop
device_000052,customer_service_terminal
device_000053,tablet
device_000054,mobile
device_000055,desktop
device_000056,mobile
device_000057,mobile
device_000058,customer_service_terminal
device_000059,desktop
device_000060,tablet
device_000061,tablet
device_000062,tablet
device_000063,corporate_workstation
device_000064,desktop
device_000065,corporate_workstation
device_000066,corporate_workstation
device_000067,corporate_workstation
device_000068,customer_service_terminal
device_000069,customer_service_terminal
device_000070,mobile
device_000071,mobile
device_000072,desktop
device_000073,desktop
device_000074,customer_service_terminal
device_000075,mobile
device_000076,mobile
device_000077,corporate_workstation
device_000078,tablet
device_000079,tablet
device_000080,tablet
device_000081,customer_service_terminal
device_000082,tablet
device_000083,tablet
device_000084,corporate_workstation
device_000085,desktop
device_000086,customer_service_terminal
device_000087,mobile
device_000088,corporate_workstation
device_000089,tablet
device_000090,mobile
device_000091,corporate_workstation
device_000092,customer_service_terminal
device_000093,tablet
device_000094,customer_service_terminal
device_000095,corporate_workstation
device_000096,mobile
device_000097,desktop
device_000098,tablet
device_000099,customer_service_terminal
device_000100,mobile
device_000101,mobile
device_000102,desktop
device_000103,corporate_workstation
device_000104,desktop
device_000105,desktop
device_000106,corporate_workstation
device_000107,corporate_workstation
device_000108,corporate_workstation
device_000109,mobile
device_000110,mobile
device_000111,tablet
device_000112,tablet
device_000113,desktop
device_000114,desktop
device_000115,tablet
device_000116,customer_service_terminal
device_000117,desktop
device_000118,customer_service_terminal
device_000119,customer_service_terminal
device_000120,corporate_workstation
device_000121,mobile
device_000122,tablet
device_000123,mobile
device_000124,tablet
device_000125,mobile
device_000126,tablet
device_000127,mobile
device_000128,corporate_workstation
device_000129,customer_service_terminal
device_000130,tablet
device_000131,customer_service_terminal
device_000132,tablet
device_000133,tablet
device_000134,corporate_workstation
device_000135,mobile
device_000136,tablet
device_000137,mobile
device_000138,corporate_workstation
device_000139,desktop
device_000140,customer_service_terminal
device_000141,tablet
device_000142,corporate_workstation
device_000143,mobile
device_000144,tablet
device_000145,mobile
device_000146,desktop
device_000147,tablet
device_000148,customer_service_terminal
device_000149,tablet
device_000150,customer_service_terminal
device_000151,mobile
device_000152,tablet
device_000153,corporate_workstation
device_000154,corporate_workstation
device_000155,desktop
device_000156,corporate_workstation
device_000157,desktop
device_000158,mobile
device_000159,customer_service_terminal
device_000160,mobile
device_000161,customer_service_terminal
device_000162,customer_service_terminal
device_000163,desktop
device_000164,corporate_workstation
device_000165,corporate_workstation
device_000166,desktop
device_000167,desktop
device_000168,mobile
device_000169,desktop
device_000170,corporate_workstation
device_000171,desktop
device_000172,desktop
device_000173,customer_service_terminal
device_000174,desktop
device_000175,mobile
device_000176,desktop
device_000177,tablet
device_000178,tablet
device_000179,customer_service_terminal
device_000180,customer_service_terminal
device_000181,tablet
device_000182,customer_service_terminal
device_000183,customer_service_terminal
device_000184,corporate_workstation
device_000185,corporate_workstation
device_000186,desktop
device_000187,tablet
device_000188,mobile
device_000189,tablet
device_000190,tablet
device_000191,corporate_workstation
device_000192,corporate_workstation
device_000193,customer_service_terminal
device_000194,mobile
device_000195,corporate_workstation
device_000196,customer_service_terminal
device_000197,mobile
device_000198,corporate_workstation
device_000199,tablet
device_000200,tablet
device_000201,mobile
device_000202,mobile
device_000203,corporate_workstation
device_000204,corporate_workstation
device_000205,mobile
device_000206,mobile
device_000207,customer_service_terminal
device_000208,customer_service_terminal
device_000209,customer_service_terminal
device_000210,tablet
device_000211,tablet
device_000212,customer_service_terminal
device_000213,customer_service_terminal
device_000214,mobile
device_000215,tablet
device_000216,customer_service_terminal
device_000217,desktop
device_000218,corporate_workstation
device_000219,customer_service_terminal
device_000220,tablet
device_000221,customer_service_terminal
device_000222,desktop
device_000223,mobile
device_000224,tablet
device_000225,mobile
device_000226,corporate_workstation
device_000227,mobile
device_000228,customer_service_terminal
device_000229,desktop
device_000230,mobile
device_000231,desktop
device_000232,tablet
device_000233,tablet
device_000234,customer_service_terminal
