employee_id,role
emp_000001,risk_operations
emp_000002,customer_support
emp_000003,customer_support
emp_000004,customer_support
emp_000005,payments_operations
emp_000006,risk_operations
emp_000007,engineering
emp_000008,customer_support
emp_000009,fraud_analyst
emp_000010,customer_support
emp_000011,customer_support
emp_000012,fraud_analyst
emp_000013,customer_support
emp_000014,customer_support
emp_000015,risk_operations
emp_000016,fraud_analyst
emp_000017,customer_support
emp_000018,risk_operations
emp_000019,merchant_support
emp_000020,customer_support
emp_000021,merchant_support
emp_000022,risk_operations
emp_000023,customer_support
emp_000024,customer_support
emp_000025,finance
emp_000026,customer_support
emp_000027,customer_support
emp_000028,customer_support
emp_000029,merchant_support
emp_000030,risk_operations
emp_000031,merchant_support
emp_000032,payments_operations
emp_000033,fraud_analyst
emp_000034,finance
emp_000035,customer_support
emp_000036,risk_operations
emp_000037,merchant_support
emp_000038,risk_operations
emp_000039,engineering
emp_000040,risk_operations
