ip_id,ip_type
ip_000001,unknown
ip_000002,unknown
ip_000003,mobile_carrier
ip_000004,datacenter_proxy
ip_000005,unknown
ip_000006,corporate_nat
ip_000007,unknown
ip_000008,residential
ip_000009,residential
ip_000010,mobile_carrier
ip_000011,datacenter_proxy
ip_000012,datacenter_proxy
ip_000013,unknown
ip_000014,datacenter_proxy
ip_000015,datacenter_proxy
ip_000016,unknown
ip_000017,residential
ip_000018,corporate_nat
ip_000019,mobile_carrier
ip_000020,residential
ip_000021,datacenter_proxy
ip_000022,datacenter_proxy
ip_000023,unknown
ip_000024,mobile_carrier
ip_000025,corporate_nat
ip_000026,unknown
ip_000027,unknown
ip_000028,corporate_nat
ip_000029,corporate_nat
ip_000030,datacenter_proxy
ip_000031,unknown
ip_000032,residential
ip_000033,residential
ip_000034,unknown
ip_000035,corporate_nat
ip_000036,mobile_carrier
ip_000037,corporate_nat
ip_000038,corporate_nat
ip_000039,mobile_carrier
ip_000040,corporate_nat
ip_000041,mobile_carrier
ip_000042,unknown
ip_000043,mobile_carrier
ip_000044,residential
ip_000045,mobile_carrier
ip_000046,corporate_nat
ip_000047,unknown
ip_000048,mobile_carrier
ip_000049,corporate_nat
ip_000050,mobile_carrier
ip_000051,unknown
ip_000052,unknown
ip_000053,residential
ip_000054,unknown
ip_000055,corporate_nat
ip_000056,unknown
ip_000057,unknown
ip_000058,corporate_nat
ip_000059,corporate_nat
ip_000060,unknown
ip_000061,unknown
ip_000062,mobile_carrier
ip_000063,unknown
ip_000064,residential
ip_000065,residential
ip_000066,residential
ip_000067,residential
ip_000068,unknown
ip_000069,mobile_carrier
ip_000070,corporate_nat
ip_000071,unknown
ip_000072,datacenter_proxy
ip_000073,unknown
ip_000074,residential
ip_000075,datacenter_proxy
ip_000076,unknown
ip_000077,mobile_carrier
ip_000078,mobile_carrier
ip_000079,datacenter_proxy
ip_000080,corporate_nat
ip_000081,datacenter_proxy
ip_000082,mobile_carrier
ip_000083,datacenter_proxy
ip_000084,residential
ip_000085,residential
ip_000086,corporate_nat
ip_000087,datacenter_proxy
ip_000088,datacenter_proxy
ip_000089,datacenter_proxy
ip_000090,datacenter_proxy
ip_000091,corporate_nat
ip_000092,mobile_carrier
ip_000093,unknown
ip_000094,corporate_nat
ip_000095,mobile_carrier
ip_000096,mobile_carrier
ip_000097,mobile_carrier
ip_000098,datacenter_proxy
ip_000099,corporate_nat
ip_000100,mobile_carrier
ip_000101,unknown
ip_000102,unknown
ip_000103,residential
ip_000104,mobile_carrier
ip_000105,corporate_nat
ip_000106,datacenter_proxy
ip_000107,residential
ip_000108,mobile_carrier
ip_000109,datacenter_proxy
ip_000110,corporate_nat
ip_000111,corporate_nat
ip_000112,residential
ip_000113,residential
ip_000114,mobile_carrier
ip_000115,datacenter_proxy
ip_000116,unknown
ip_000117,datacenter_proxy
ip_000118,corporate_nat
ip_000119,corporate_nat
ip_000120,mobile_carrier
ip_000121,unknown
ip_000122,mobile_carrier
ip_000123,corporate_nat
ip_000124,corporate_nat
ip_000125,datacenter_proxy
ip_000126,unknown
ip_000127,datacenter_proxy
ip_000128,datacenter_proxy
ip_000129,mobile_carrier
ip_000130,datacenter_proxy
ip_000131,residential
ip_000132,residential
