merchant_id,category
merchant_000001,electronics
merchant_000002,fashion
merchant_000003,travel
merchant_000004,marketplace
merchant_000005,electronics
merchant_000006,travel
merchant_000007,fashion
merchant_000008,utilities
merchant_000009,fashion
merchant_000010,travel
merchant_000011,subscription
merchant_000012,grocery
merchant_000013,grocery
merchant_000014,gaming
merchant_000015,restaurant
merchant_000016,fashion
merchant_000017,utilities
merchant_000018,fashion
merchant_000019,utilities
merchant_000020,subscription
merchant_000021,subscription
merchant_000022,restaurant
merchant_000023,marketplace
merchant_000024,travel
merchant_000025,gaming
merchant_000026,subscription
merchant_000027,electronics
merchant_000028,grocery
merchant_000029,utilities
merchant_000030,digital_goods
merchant_000031,grocery
merchant_000032,subscription
merchant_000033,subscription
merchant_000034,electronics
merchant_000035,electronics
merchant_000036,digital_goods
merchant_000037,grocery
merchant_000038,restaurant
merchant_000039,digital_goods
merchant_000040,grocery
merchant_000041,subscription
merchant_000042,grocery
merchant_000043,utilities
merchant_000044,restaurant
merchant_000045,subscription
merchant_000046,fashion
merchant_000047,subscription
merchant_000048,grocery
merchant_000049,travel
merchant_000050,fashion
merchant_000051,gaming
merchant_000052,subscription
merchant_000053,digital_goods
merchant_000054,marketplace
merchant_000055,digital_goods
merchant_000056,digital_goods
merchant_000057,marketplace
merchant_000058,subscription
merchant_000059,gaming
merchant_000060,travel
merchant_000061,fashion
merchant_000062,subscription
merchant_000063,utilities
merchant_000064,gaming
merchant_000065,gaming
merchant_000066,grocery
merchant_000067,fashion
merchant_000068,digital_goods
merchant_000069,travel
merchant_000070,utilities
merchant_000071,fashion
merchant_000072,restaurant
merchant_000073,grocery
merchant_000074,marketplace
merchant_000075,utilities
merchant_000076,fashion
merchant_000077,marketplace
merchant_000078,utilities
merchant_000079,utilities
merchant_000080,travel
