session_id,account_id,device_id,ip_id,started_at,ended_at
session_000001,acct_000036,device_000576,ip_000222,2025-06-04T13:40:43,2025-06-04T13:41:00
session_000002,acct_000040,device_000576,ip_000222,2025-06-04T13:39:51,2025-06-04T13:40:08
session_000003,acct_000039,device_000576,ip_000222,2025-06-04T13:51:41,2025-06-04T13:52:02
session_000004,acct_000041,device_000576,ip_000222,2025-06-04T13:34:43,2025-06-04T13:35:27
session_000005,acct_000043,device_000576,ip_000222,2025-06-04T13:37:54,2025-06-04T13:38:10
session_000006,acct_000034,device_000576,ip_000222,2025-06-04T13:47:21,2025-06-04T13:48:04
session_000007,acct_000044,device_000576,ip_000222,2025-06-04T13:36:31,2025-06-04T13:37:05
session_000008,acct_000035,device_000576,ip_000222,2025-06-04T13:47:41,2025-06-04T13:48:35
session_000009,acct_000038,device_000576,ip_000222,2025-06-04T13:42:33,2025-06-04T13:43:14
session_000010,acct_000036,device_000027,ip_000097,2025-08-21T13:13:03,2025-08-21T13:13:50
session_000011,acct_000041,device_000027,ip_000097,2025-08-21T13:19:02,2025-08-21T13:19:54
session_000012,acct_000043,device_000027,ip_000097,2025-08-21T13:18:19,2025-08-21T13:18:45
session_000013,acct_000034,device_000027,ip_000097,2025-08-21T13:11:05,2025-08-21T13:11:56
session_000014,acct_000037,device_000233,ip_000397,2025-03-13T00:20:53,2025-03-13T00:21:49
session_000015,acct_000034,device_000233,ip_000397,2025-03-13T16:09:31,2025-03-13T16:09:39
session_000016,acct_000037,device_000556,ip_000197,2025-07-14T02:58:08,2025-07-14T02:58:22
session_000017,acct_000035,device_000556,ip_000197,2025-07-14T01:23:55,2025-07-14T01:24:32
session_000018,acct_000040,device_000556,ip_000197,2025-07-14T00:57:52,2025-07-14T00:58:09
session_000019,acct_000039,device_000186,ip_000130,2025-06-25T03:35:59,2025-06-25T03:36:25
session_000020,acct_000044,device_000186,ip_000130,2025-06-25T03:35:52,2025-06-25T03:36:51
session_000021,acct_000038,device_000186,ip_000130,2025-06-25T03:19:48,2025-06-25T03:20:17
session_000022,acct_000043,device_000186,ip_000130,2025-06-25T03:20:02,2025-06-25T03:20:26
session_000023,acct_000034,device_000186,ip_000130,2025-06-25T03:26:31,2025-06-25T03:27:13
session_000024,acct_000042,device_000186,ip_000130,2025-06-25T03:37:02,2025-06-25T03:37:37
session_000025,acct_000036,device_000186,ip_000130,2025-06-25T03:35:53,2025-06-25T03:36:31
session_000026,acct_000041,device_000186,ip_000130,2025-06-25T03:36:44,2025-06-25T03:37:27
session_000027,acct_000035,device_000186,ip_000130,2025-06-25T03:28:10,2025-06-25T03:28:54
session_000028,acct_000043,device_000488,ip_000358,2025-11-16T03:00:51,2025-11-16T03:01:15
session_000029,acct_000036,device_000488,ip_000358,2025-11-16T03:05:57,2025-11-16T03:06:19
session_000030,acct_000038,device_000488,ip_000358,2025-11-16T03:02:01,2025-11-16T03:02:27
session_000031,acct_000040,device_000488,ip_000358,2025-11-16T02:59:49,2025-11-16T03:00:26
session_000032,acct_000037,device_000488,ip_000358,2025-11-16T03:08:09,2025-11-16T03:09:00
session_000033,acct_000042,device_000488,ip_000358,2025-11-16T03:02:19,2025-11-16T03:02:39
session_000034,acct_000067,device_000026,ip_000010,2025-01-13T06:08:26,2025-01-13T06:08:27
session_000035,acct_000060,device_000026,ip_000010,2025-01-13T06:08:29,2025-01-13T06:08:30
session_000036,acct_000065,device_000026,ip_000010,2025-01-13T06:08:32,2025-01-13T06:08:33
session_000037,acct_000065,device_000026,ip_000010,2025-01-13T06:08:35,2025-01-13T06:08:36
session_000038,acct_000071,device_000026,ip_000010,2025-01-13T06:08:38,2025-01-13T06:08:39
session_000039,acct_000056,device_000026,ip_000010,2025-01-13T06:08:41,2025-01-13T06:08:42
session_000040,acct_000069,device_000026,ip_000010,2025-01-13T06:08:44,2025-01-13T06:08:45
session_000041,acct_000068,device_000026,ip_000010,2025-01-13T06:08:47,2025-01-13T06:08:48
session_000042,acct_000059,device_000026,ip_000010,2025-01-13T06:08:50,2025-01-13T06:08:51
session_000043,acct_000057,device_000026,ip_000010,2025-01-13T06:08:53,2025-01-13T06:08:54
session_000044,acct_000056,device_000026,ip_000010,2025-01-13T06:08:56,2025-01-13T06:08:57
session_000045,acct_000062,device_000026,ip_000010,2025-01-13T06:08:59,2025-01-13T06:09:00
session_000046,acct_000060,device_000026,ip_000010,2025-01-13T06:09:02,2025-01-13T06:09:03
session_000047,acct_000065,device_000026,ip_000010,2025-01-13T06:09:05,2025-01-13T06:09:06
session_000048,acct_000068,device_000026,ip_000010,2025-01-13T06:09:08,2025-01-13T06:09:09
session_000049,acct_000061,device_000026,ip_000010,2025-01-13T06:09:11,2025-01-13T06:09:12
session_000050,acct_000062,device_000026,ip_000010,2025-01-13T06:09:14,2025-01-13T06:09:15
session_000051,acct_000070,device_000026,ip_000010,2025-01-13T06:09:17,2025-01-13T06:09:18
session_000052,acct_000059,device_000026,ip_000010,2025-01-13T06:09:20,2025-01-13T06:09:21
session_000053,acct_000058,device_000026,ip_000010,2025-01-13T06:09:23,2025-01-13T06:09:24
session_000054,acct_000057,device_000025,ip_000010,2025-02-03T23:51:31,2025-02-03T23:51:32
session_000055,acct_000067,device_000025,ip_000010,2025-02-03T23:51:36,2025-02-03T23:51:37
session_000056,acct_000066,device_000025,ip_000010,2025-02-03T23:51:41,2025-02-03T23:51:42
session_000057,acct_000067,device_000025,ip_000010,2025-02-03T23:51:46,2025-02-03T23:51:47
session_000058,acct_000064,device_000025,ip_000010,2025-02-03T23:51:51,2025-02-03T23:51:52
session_000059,acct_000061,device_000025,ip_000010,2025-02-03T23:51:56,2025-02-03T23:51:57
session_000060,acct_000068,device_000025,ip_000010,2025-02-03T23:52:01,2025-02-03T23:52:02
session_000061,acct_000059,device_000025,ip_000010,2025-02-03T23:52:06,2025-02-03T23:52:07
session_000062,acct_000067,device_000025,ip_000010,2025-02-03T23:52:11,2025-02-03T23:52:12
session_000063,acct_000057,device_000025,ip_000010,2025-02-03T23:52:16,2025-02-03T23:52:17
session_000064,acct_000062,device_000025,ip_000010,2025-02-03T23:52:21,2025-02-03T23:52:22
session_000065,acct_000064,device_000025,ip_000010,2025-02-03T23:52:26,2025-02-03T23:52:27
session_000066,acct_000069,device_000025,ip_000010,2025-02-03T23:52:31,2025-02-03T23:52:32
session_000067,acct_000061,device_000025,ip_000010,2025-02-03T23:52:36,2025-02-03T23:52:37
session_000068,acct_000058,device_000025,ip_000010,2025-02-03T23:52:41,2025-02-03T23:52:42
session_000069,acct_000069,device_000025,ip_000010,2025-02-03T23:52:46,2025-02-03T23:52:47
session_000070,acct_000060,device_000025,ip_000010,2025-02-03T23:52:51,2025-02-03T23:52:52
session_000071,acct_000062,device_000025,ip_000010,2025-02-03T23:52:56,2025-02-03T23:52:57
session_000072,acct_000063,device_000025,ip_000010,2025-02-03T23:53:01,2025-02-03T23:53:02
session_000073,acct_000063,device_000025,ip_000010,2025-02-03T23:53:06,2025-02-03T23:53:07
session_000074,acct_000063,device_000025,ip_000010,2025-02-03T23:53:11,2025-02-03T23:53:12
