transaction_id,account_id,device_id,ip_id,payment_token_id,merchant_id,amount,currency,txn_type,event_timestamp,ingestion_timestamp
txn_001348,acct_000916,device_000380,ip_000469,token_000027,merchant_000007,4.52,USD,purchase,2025-01-01T05:53:22,2025-01-01T05:56:27
txn_002647,acct_001059,device_000348,ip_000138,token_000078,merchant_000057,7.94,USD,purchase,2025-01-01T08:35:18,2025-01-01T08:35:41
txn_003462,acct_000562,device_000217,ip_000470,token_000493,merchant_000054,115.49,USD,purchase,2025-01-01T09:03:40,2025-01-01T09:04:31
txn_003110,acct_000554,device_000241,ip_000140,token_000004,merchant_000011,111.36,USD,purchase,2025-01-01T09:24:11,2025-01-01T09:25:47
txn_001207,acct_000121,device_000094,ip_000060,token_001177,merchant_000048,93.16,USD,purchase,2025-01-01T09:33:36,2025-01-01T09:37:23
txn_003753,acct_000400,device_000089,ip_000253,token_000778,merchant_000062,86.71,USD,purchase,2025-01-01T09:42:14,2025-01-01T09:44:20
txn_001385,acct_000077,device_000194,ip_000343,token_001148,merchant_000070,18.87,USD,purchase,2025-01-01T11:23:37,2025-01-01T11:27:37
txn_002809,acct_000200,device_000082,ip_000339,token_000126,merchant_000038,29.88,USD,purchase,2025-01-01T14:19:26,2025-01-01T14:20:30
txn_003089,acct_000369,device_000292,ip_000265,token_001213,merchant_000010,15.37,USD,purchase,2025-01-01T16:27:00,2025-01-01T16:29:25
txn_003451,acct_000683,device_000087,ip_000228,token_000189,merchant_000078,22.31,USD,purchase,2025-01-01T17:57:00,2025-01-01T17:58:57
txn_001648,acct_000093,device_000027,ip_000111,token_001122,merchant_000042,17.58,USD,purchase,2025-01-01T23:06:59,2025-01-01T23:10:04
txn_001764,acct_000341,device_000511,ip_000343,token_000264,merchant_000038,224.05,USD,purchase,2025-01-02T00:21:42,2025-01-02T00:22:19
txn_002141,acct_000536,device_000570,ip_000011,token_001070,merchant_000057,49.64,USD,purchase,2025-01-02T01:45:13,2025-01-02T01:48:57
txn_001223,acct_000025,device_000209,ip_000354,token_001186,merchant_000016,15.17,USD,purchase,2025-01-02T04:00:04,2025-01-02T04:00:13
txn_001193,acct_000035,device_000469,ip_000428,token_000828,merchant_000024,6.49,USD,purchase,2025-01-02T08:41:59,2025-01-02T08:43:24
txn_000996,acct_000107,device_000141,ip_000036,token_000194,merchant_000076,5.94,USD,purchase,2025-01-02T13:22:14,2025-01-02T13:24:15
txn_002674,acct_000161,device_000433,ip_000129,token_000273,merchant_000031,9.06,USD,purchase,2025-01-02T16:18:22,2025-01-02T16:21:26
txn_001540,acct_000317,device_000130,ip_000207,token_000021,merchant_000004,70.39,USD,purchase,2025-01-02T17:11:17,2025-01-02T17:11:30
txn_001789,acct_000944,device_000485,ip_000187,token_001075,merchant_000061,15.34,USD,purchase,2025-01-02T18:38:45,2025-01-02T18:42:32
txn_002156,acct_001106,device_000287,ip_000229,token_000625,merchant_000050,9.67,USD,purchase,2025-01-02T21:51:23,2025-01-02T21:55:23
txn_000624,acct_000580,device_000127,ip_000028,token_001001,merchant_000040,16.66,USD,purchase,2025-01-02T23:26:40,2025-01-02T23:26:41
txn_001730,acct_000045,device_000315,ip_000209,token_000283,merchant_000041,113.1,USD,purchase,2025-01-03T06:11:10,2025-01-03T06:12:49
txn_004160,acct_000100,device_000019,ip_000007,token_001033,merchant_000076,2.53,USD,purchase,2025-01-03T16:07:33,2025-01-03T16:09:37
txn_000789,acct_000523,device_000521,ip_000058,token_000936,merchant_000003,16.6,USD,purchase,2025-01-03T19:37:37,2025-01-03T19:41:17
txn_002911,acct_000802,device_000182,ip_000204,token_000082,merchant_000062,123.97,USD,purchase,2025-01-03T19:46:47,2025-01-03T19:48:59
